date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-5.320138888888889,-10.704166666666667,66.41363452939129,NA,121.7,0,-1
2020-02-16,0,-6.25,-13.245833333333334,58.81569948442543,NA,91.22,1,-1
2020-02-17,0,-2.50625,-8.760416666666666,62.90019869690397,NA,98.74,-24,6
2020-02-18,0,-5.545138888888889,-10.218402777777778,70.59518302646137,NA,113.58,1,0
2020-02-19,0,-13.629166666666666,-20.59166666666667,56.51902169569445,NA,105.19,2,0
2020-02-20,0,-15.472916666666666,-22.077083333333334,58.93299359115428,NA,110.77,2,0
2020-02-21,0,-7.695833333333334,-12.558333333333334,69.78569383173777,NA,129.07,7,-1
2020-02-22,0,-2.5265277777777775,-5.537222222222222,80.88047100259543,NA,128.73,3,-1
2020-02-23,0,0.9208333333333333,-3.720833333333333,73.42286034224891,NA,89.3,3,-2
2020-02-24,0,0.3708333333333334,-5,69.45622441132387,NA,100.03,4,-1
2020-02-25,0,0.1166666666666667,-7.204166666666667,58.84303827421303,NA,105.67,3,0
2020-02-26,0,-2.9416666666666664,-9.633333333333333,60.92416779913201,NA,106.35,3,-1
2020-02-27,0,-5.684722222222223,-11.565277777777778,64.57863656569336,NA,113.91,3,-1
2020-02-28,0,-5.995833333333334,-14.483333333333334,52.71159208606558,NA,132.92,7,-1
2020-02-29,0,-4.680555555555555,-9.315972222222221,71.51489170486224,NA,124.34,4,-1
2020-03-01,0,3.254166666666667,-1.8041666666666667,71.05878884753386,NA,90.06,3,-2
2020-03-02,0,1.3458333333333334,-4.53125,65.40340807028986,NA,99.55,5,-1
2020-03-03,0,1.39375,-3.209375,72.78378136760516,NA,109.93,2,-1
2020-03-04,0,0.5791666666666667,-6.058333333333334,62.364731148919,NA,106.94,3,-1
2020-03-05,0,3.209722222222222,-1.5097222222222222,71.83025681449546,NA,114.58,2,0
2020-03-06,1,-0.6208333333333333,-7.925000000000001,59.14638797974627,NA,130.89,1,0
2020-03-07,0,3.3000000000000003,-4.529166666666667,57.739326653584456,NA,123,3,-1
2020-03-08,0,8.870833333333334,0.7041666666666667,57.13986946877065,NA,86.78,1,-2
2020-03-09,0,4.283333333333333,-0.6541666666666666,70.93197660786048,NA,95.37,-2,1
2020-03-10,0,0.16666666666666669,-7.2,59.39061106894577,NA,102.74,-6,2
2020-03-11,1,2.269791666666667,-0.3833333333333333,83.46983147031531,NA,101.86,-7,2
2020-03-12,1,4.7444444444444445,1.6347222222222222,80.9146233804047,NA,97.09,-10,3
2020-03-13,0,0.4125,-8.116666666666667,53.95147999351891,NA,103.06,-8,4
2020-03-14,2,-2.672222222222222,-10.520833333333334,55.48561839047295,NA,88.2,-2,4
2020-03-15,0,-1.0916666666666666,-7.833333333333333,61.61358880950632,NA,62.18,-6,3
