date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,0.9416666666666668,-7.441666666666666,56.25650015528481,NA,202.52,0,NA
2020-02-16,0,6.716666666666667,-0.3041666666666667,62.2014770998952,NA,109.43,3,NA
2020-02-17,0,8.684722222222222,2.926388888888889,70.2864520531125,NA,121.93,-14,2
2020-02-18,0,13.235218253968254,8.92470238095238,76.97555917113297,NA,111.02,0,1
2020-02-19,0,8.827083333333334,2.4520833333333334,67.09318589011069,NA,108.79,4,-1
2020-02-20,0,4.4061111111111115,-2.3583333333333334,65.41366237707797,NA,111.97,3,2
2020-02-21,0,0.8624999999999999,-7.379166666666666,56.49524940175659,NA,152.2,1,0
2020-02-22,0,1.825,-7.070833333333334,58.47288226103363,NA,133.85,8,NA
2020-02-23,0,4.245833333333334,-3.6416666666666666,60.148572060073555,NA,108.01,7,NA
2020-02-24,0,7.547569444444445,2.4291666666666667,72.35498543612962,NA,107.62,3,1
2020-02-25,0,10.821805555555555,7.017013888888889,79.74848673406053,NA,117.64,4,-1
2020-02-26,0,9.386805555555556,4.8694444444444445,73.987675772250185,NA,113.02,4,-2
2020-02-27,0,2.8180555555555555,-5.972222222222222,54.694319172521716,NA,132.73,2,-1
2020-02-28,0,2.4180555555555556,-3.341666666666667,66.69745226926268,NA,164.78,3,-1
2020-02-29,0,3.8130434782608695,-4.460869565217392,59.12903000378938,NA,138.67,7,NA
2020-03-01,0,4.025,-4.775,57.602050934683106,NA,119.1,7,NA
2020-03-02,0,10.134375,4.162916666666667,70.14356720786681,NA,112.04,3,1
2020-03-03,0,13.685416666666667,9.894097222222221,80.79047838921183,NA,121.54,-6,1
2020-03-04,0,11.058333333333334,1.5833333333333333,57.98373589747091,NA,119.03,5,-2
2020-03-05,0,11.595833333333333,2.1625,53.756945391526656,NA,135.83,5,-2
2020-03-06,0,7.939583333333333,-1.3756944444444446,54.62402503418217,NA,154.35,3,0
2020-03-07,0,5.575,-5.083333333333333,47.8354192106612,NA,165.83,4,NA
2020-03-08,0,6.829166666666667,-3,56.01911580758403,NA,127.75,5,NA
2020-03-09,0,12.566666666666666,0.48749999999999993,44.52267159302904,NA,123.72,1,-1
2020-03-10,0,14.266527777777778,9.502222222222223,75.29473007843322,NA,121.23,-1,1
2020-03-11,0,15.218680555555554,11.111875,79.6783907344618,NA,122.81,1,-2
2020-03-12,0,13.9125,10.090277777777779,78.12219795333714,NA,127.48,1,0
2020-03-13,0,17.50565476190476,11.166666666666666,69.4118101135706,NA,154.1,-1,0
2020-03-14,0,11.984722222222222,1.1625,50.37101044235659,NA,127.63,1,NA
2020-03-15,0,9.92375,6.494375,80.14249315769831,NA,107.72,-4,NA
2020-03-16,0,8.657777777777778,5.304861111111111,79.98722068012441,NA,108.89,-15,4
2020-03-17,0,12.784027777777778,10.426388888888889,85.91693930082454,NA,98.75,-19,7
2020-03-18,0,14.943055555555556,11.973611111111111,83.10001495945106,NA,124.5,-22,7
2020-03-19,0,19.564791666666668,15.36625,79.14107353026081,NA,100.12,-22,6
2020-03-20,0,19.956944444444446,15.104861111111111,74.54644389579653,NA,105.72,-27,12
2020-03-21,1,13.018958333333334,9.766388888888889,81.10147302384172,NA,92.57,-13,NA
2020-03-22,0,9.3625,3.24375,66.50556359214038,NA,73.38,-20,NA
2020-03-23,0,12.909950396825396,10.706488095238095,86.78944249397088,NA,77.41,-27,11
