date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-8.251515151515152,-13.683333333333334,65.70219777375813,NA,144.12,1,0
2020-02-16,0,-0.13472222222222224,-5.004861111111111,70.87481546275747,NA,109.82,2,-1
2020-02-17,0,-4.270634920634921,-9.149206349206349,70.12971268264076,NA,120.62,-9,3
2020-02-18,0,0.7013888888888888,-1.8334325396825397,84.02557109765387,NA,115.21,-8,4
2020-02-19,0,-4.020833333333333,-10.961805555555555,59.39297466390222,NA,120.51,1,0
2020-02-20,0,-7.617424242424242,-15.568181818181818,54.19238887334294,NA,126.89,0,0
2020-02-21,0,-6.081944444444445,-11.995833333333334,64.24548015445731,NA,154.84,0,0
2020-02-22,0,-0.26805555555555555,-6.732638888888889,62.70712524811184,NA,150.92,5,-1
2020-02-23,0,3.1465277777777776,-3.272222222222222,63.64193569135878,NA,111.85,6,-2
2020-02-24,0,2.334027777777778,-1.0631944444444446,78.86340627028235,NA,107.72,3,0
2020-02-25,0,0.3680555555555556,-1.2604166666666667,89.10705979307122,NA,111.88,0,0
2020-02-26,0,-1.50625,-4.804861111111111,78.88059083963188,NA,110.23,-3,2
2020-02-27,0,-5.1875,-10.59375,66.63554505300245,NA,127.09,-12,4
2020-02-28,0,-5.419444444444444,-12.189583333333333,59.49604012724459,NA,154.92,-1,0
2020-02-29,0,-3.321014492753623,-11.226811594202898,55.603809689717245,NA,152.47,2,-2
2020-03-01,0,0.3368055555555555,-7.602777777777778,56.50552099569781,NA,108.53,3,-3
2020-03-02,0,5.525,0.2888888888888889,70.59052702682642,NA,118.58,1,-1
2020-03-03,0,1.4347222222222222,-1.66875,80.7004697140471,NA,119.25,-2,-1
2020-03-04,0,2.048611111111111,-2.5319444444444446,73.67255797128131,NA,124.91,-1,-1
2020-03-05,0,1.1506944444444445,-5.302083333333333,64.35359250229513,NA,127.79,-1,0
2020-03-06,0,1.0208333333333333,-1.1597222222222223,85.98784597032643,NA,154.01,-1,1
2020-03-07,0,-0.9680555555555556,-6.038194444444445,70.82215422637942,NA,154.31,3,-3
2020-03-08,0,6.23125,-3.545138888888889,53.44804770280531,NA,114.96,6,-3
2020-03-09,0,11.275,1.1395833333333334,50.52159653917113,NA,117.34,2,0
2020-03-10,0,7.454861111111111,3.2291666666666665,77.13000216484483,NA,127.29,1,-1
2020-03-11,0,2.2111111111111112,-0.7763888888888889,81.10900780291738,NA,119.22,2,0
2020-03-12,0,5.35,1.4652777777777777,77.2070631952003,NA,117.97,0,0
2020-03-13,0,5.506944444444445,-1.0763888888888888,64.17904946259662,NA,125.38,-2,2
2020-03-14,0,0.02847222222222223,-5.196527777777778,68.39527849058821,NA,110.19,-1,3
2020-03-15,0,-0.2763888888888889,-4.675694444444445,73.26027356973526,NA,85.44,-3,2
2020-03-16,0,-1.0847222222222221,-5.672916666666667,74.0461869724839,NA,87.15,-16,7
2020-03-17,0,4.632638888888889,-2.167361111111111,65.84921499105101,NA,86.37,-24,9
2020-03-18,0,2.970833333333333,-4.354861111111111,60.68618098652015,NA,82.28,-26,11
