date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,0.4202898550724638,-3.949275362318841,74.58468550974303,NA,139.86,-1,NA
2020-02-16,0,7.527777777777778,1.6805555555555556,68.82103221535432,NA,103.64,2,NA
2020-02-17,0,9.405797101449275,6.333333333333333,81.7461568089893,NA,118.79,-17,5
2020-02-18,0,9.541666666666666,7.597222222222222,88.07741043760547,NA,108.38,2,1
2020-02-19,0,3.375,-0.8888888888888888,76.27454009257582,NA,110.81,2,1
2020-02-20,0,3.7430555555555554,-2.2708333333333335,65.83266268312201,NA,124.78,2,1
2020-02-21,0,-1.3680555555555556,-8.805555555555555,59.80151067569596,NA,139.15,0,1
2020-02-22,0,0.7916666666666666,-4.375,70.70793244069658,NA,130.62,2,NA
2020-02-23,0,6.75,1.7361111111111112,70.91788772367363,NA,108.73,-1,NA
2020-02-24,0,8.194444444444445,8.041666666666666,99.00736471692773,NA,112.26,2,2
2020-02-25,0,8.61111111111111,7.763888888888889,94.569559052679807,NA,119.73,3,0
2020-02-26,0,3.2152777777777777,0.9166666666666666,85.30063160128884,NA,123.61,4,-1
2020-02-27,0,1.9097222222222223,-3.1805555555555554,71.61350167294135,NA,135.47,5,-1
2020-02-28,0,5.456521739130435,0.9710144927536232,74.78476067047409,NA,154.78,1,-1
2020-02-29,0,3.6805555555555554,0.08333333333333333,80.30425622512365,NA,150,2,NA
2020-03-01,0,8.652777777777779,4.375,75.91890300297811,NA,167.58,-2,NA
2020-03-02,0,14.25,11.277777777777779,83.3024334734628,NA,117.58,4,0
2020-03-03,0,13.902777777777779,8.694444444444445,75.45348835026954,NA,114.37,2,-2
2020-03-04,0,10.73611111111111,4.208333333333333,68.66024875436571,NA,121.53,3,-1
2020-03-05,0,9.75,2.375,63.23518314477756,NA,127.41,5,-2
2020-03-06,0,9,-1.9722222222222223,48.4052718732702,NA,160.45,2,-2
2020-03-07,0,5.736111111111112,-1.6388888888888888,63.46910026002392,NA,160.96,4,NA
2020-03-08,0,9.26388888888889,-0.09722222222222224,57.45788473715813,NA,119.77,3,NA
2020-03-09,0,14.277777777777779,7.263888888888889,64.25565433879501,NA,120.99,4,1
