date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,3.654166666666667,-2.5541666666666667,65.38995732858439,NA,119.19,-1,0
2020-02-16,0,10.305208333333333,4.921875,69.73562751946208,NA,83.72,2,-1
2020-02-17,0,15.3,12.295833333333333,83.01629715554975,NA,103.24,-12,3
2020-02-18,0,13.327777777777778,8.832986111111111,75.54905422558294,NA,106.68,1,1
2020-02-19,0,6.45,-1.0833333333333333,62.67769412346054,NA,105.45,2,-1
2020-02-20,0,7.371527777777778,-1.0097222222222222,57.074774485423134,NA,110.72,1,0
2020-02-21,0,1.7083333333333335,-6.735416666666667,56.62418664344692,NA,128.13,1,0
2020-02-22,0,4.260416666666667,-4.316666666666666,57.84726671789647,NA,125.47,1,-1
2020-02-23,0,8.445833333333333,3.073611111111111,71.15490207070486,NA,79.2,0,0
2020-02-24,0,10.417222222222222,8.804027777777778,90.84365967025458,NA,103.74,0,1
2020-02-25,0,8.991388888888888,5.4840277777777775,79.30133778054515,NA,111.19,3,0
2020-02-26,0,5.130902777777778,0.16562499999999997,71.52305645075667,NA,112.44,2,-1
2020-02-27,0,3.05,-3.9520833333333334,65.02600494519614,NA,114.46,2,-2
2020-02-28,0,8.547916666666667,0.23541666666666664,58.547043217771524,NA,140.53,2,-4
2020-02-29,0,10.127083333333333,1.1833333333333333,59.85661939799185,NA,126.98,2,-3
2020-03-01,0,15.239583333333334,8.375,65.08831895445284,NA,83.31,2,-2
2020-03-02,0,16.45625,12.902083333333334,82.49633703803467,NA,115.21,1,-1
2020-03-03,0,12.829166666666667,6.764583333333333,71.09885839584415,NA,125.38,1,-2
2020-03-04,0,12.635416666666666,5.414583333333334,63.23196640899032,NA,119.26,1,-1
2020-03-05,0,12.122916666666667,2.9541666666666666,60.44251344952518,NA,127.08,3,-2
2020-03-06,0,12.527083333333334,-5.85625,29.204155211189708,NA,145.03,3,-2
2020-03-07,0,10.364583333333334,-1.2333333333333334,48.57614345098607,NA,139.97,4,-2
2020-03-08,0,12.710416666666667,-0.23124999999999996,45.51702244126553,NA,91.05,4,-2
2020-03-09,0,16.462152777777778,10.103472222222223,69.13160582762966,NA,105.18,1,2
2020-03-10,0,12.968055555555555,8.652083333333334,76.43926104014581,NA,122.88,2,0
2020-03-11,0,15.17361111111111,12.074652777777779,82.8771507310728,NA,106.39,3,-1
2020-03-12,0,20.480555555555554,16.12291666666667,80.1369914330773,NA,109.1,2,-2
2020-03-13,0,15.047916666666667,8.758333333333333,67.64569091857462,NA,115.31,0,0
2020-03-14,0,7.849131944444444,7.394270833333334,97.03262679078648,NA,100.12,-4,4
2020-03-15,0,10.088888888888889,8.8625,92.63878429261011,NA,73.9,-1,2
2020-03-16,0,8.1875,6.874305555555556,91.70465374941848,NA,89.86,-13,6
2020-03-17,0,10.35625,10.124305555555555,98.5441778115643,NA,88.1,-17,8
2020-03-18,0,15.148472222222221,13.410972222222222,90.7159105334919,NA,87.72,-19,7
2020-03-19,0,20.79017857142857,18.739285714285714,89.00749895004817,NA,79.65,-23,9
2020-03-20,0,14.333333333333334,11.2,81.67142651684303,NA,86.35,-26,11
2020-03-21,0,8.136805555555556,1.64375,65.46457165967611,NA,70.37,-19,7
2020-03-22,1,9.369861111111112,6.739305555555556,84.9834013831338,NA,48.54,-25,8
2020-03-23,0,11.655555555555555,10.4375,92.7260488275738,NA,70.2,-31,12
2020-03-24,0,17.007638888888888,13.435416666666667,81.98416377097934,NA,72.56,-32,13
2020-03-25,1,15.256944444444445,11.846527777777778,81.9521761986454,NA,78.36,-34,11
2020-03-26,0,19.834027777777777,14.290277777777778,75.61817325867,NA,80.28,-34,12
2020-03-27,0,24.6375,16.91875,62.79401422456976,NA,82.04,-35,13
2020-03-28,0,22.160416666666666,14.741666666666667,66.32761655108416,NA,71.87,-26,10
2020-03-29,0,15.745833333333334,3.247916666666667,46.62050023576299,NA,56.25,-27,7
2020-03-30,3,13.735833333333334,7.724583333333333,69.40028388050408,NA,71.11,-34,14
2020-03-31,2,13.567361111111111,8.868055555555555,77.5088364892487,NA,74.05,-33,13
2020-04-01,1,14.758333333333333,6.902083333333334,65.3219142997477,0.8911725670883185,77.25,-34,11
2020-04-02,0,18.296875,7.339583333333334,50.03804641058867,0.8932520058814748,81.73,-35,12
2020-04-03,0,14.044910714285715,11.082609126984128,84.09747628369941,0.8957944361401361,79.26,-36,15
2020-04-04,0,7.147916666666666,5.884027777777778,91.84462766600016,0.8988391992086994,64.39,-27,12
