date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-8.505797101449275,-14.18695652173913,64.06712744724,NA,161.81,1,NA
2020-02-16,0,-3.7125,-12.359722222222222,55.52925369266048,NA,121.86,-1,NA
2020-02-17,0,-5.4944444444444445,-10.729166666666666,68.1113262831136,NA,94.65,-13,3
2020-02-18,0,-1.0555555555555556,-4.504861111111111,79.29385132121843,NA,98.38,-2,1
2020-02-19,0,-10.897916666666667,-19.367361111111112,51.29576467409264,NA,111.59,1,0
2020-02-20,0,-13.740972222222222,-22.029166666666665,52.06279149987286,NA,112.67,-4,1
2020-02-21,0,-7.493478260869566,-17.47608695652174,46.49578114274477,NA,150.29,-3,1
2020-02-22,0,0.37361111111111106,-6.3694444444444445,62.49670373789457,NA,173.65,0,NA
2020-02-23,0,3.913194444444444,-2.6729166666666666,65.75774471575467,NA,123.01,1,NA
2020-02-24,0,2.0972222222222223,-4.438888888888889,64.30412701992583,NA,97.38,2,-1
2020-02-25,0,-0.2222222222222222,-4.7027777777777775,72.71139658906164,NA,97.74,1,0
2020-02-26,0,-2.7944444444444443,-8.78888888888889,64.1204310669652,NA,94.36,1,-1
2020-02-27,0,-7.209722222222222,-14.3125,57.99082382640177,NA,109.19,2,0
2020-02-28,0,-8.478985507246376,-16.244202898550725,56.23461452121271,NA,143.93,-4,0
2020-02-29,0,-6.041666666666667,-17.42361111111111,41.52688466380613,NA,169.56,3,NA
2020-03-01,0,1.1194444444444445,-5.920833333333333,60.84502958958999,NA,123.3,0,NA
2020-03-02,0,3.5555555555555554,-3.3444444444444446,61.77290438051276,NA,98.35,3,-1
2020-03-03,0,-0.45555555555555555,-4.3805555555555555,76.03714360003913,NA,109.48,1,0
2020-03-04,0,1.7583333333333333,-5.679166666666666,60.35988271357113,NA,103.73,1,-1
2020-03-05,0,2.1083333333333334,-3.1791666666666667,69.17632731115998,NA,117.48,-1,1
2020-03-06,0,0.42083333333333334,-6.447916666666667,62.42664581275871,NA,154.02,3,-1
2020-03-07,0,0.18402777777777782,-7.043055555555555,59.78116476397277,NA,168.41,4,NA
2020-03-08,0,7.1506944444444445,-1.0625,57.096945148581355,NA,123.47,4,NA
2020-03-09,0,9.206944444444444,2.8180555555555555,66.08236762155332,NA,97.42,0,0
2020-03-10,0,1.3319444444444444,-4.3875,68.75225105252524,NA,96.05,-1,0
2020-03-11,0,2.0405797101449274,-0.14492753623188406,86.7019076971162,NA,92.28,0,1
2020-03-12,0,3.775,2.9972222222222222,94.76323347435904,NA,100.47,-1,2
2020-03-13,0,3.0013888888888887,-4.751388888888889,58.28266860865858,NA,124.98,1,1
2020-03-14,0,-0.5611111111111111,-7.211111111111111,61.29763728585582,NA,124.19,-3,NA
2020-03-15,0,-1.3166666666666667,-6.320833333333333,69.83266350991268,NA,91.21,-2,NA
2020-03-16,0,-0.6791666666666666,-3.3180555555555555,83.05759840040977,NA,82.27,-11,4
2020-03-17,0,2.5944444444444446,-5.43125,58.694584735333486,NA,81.55,-15,6
2020-03-18,0,2.6277777777777778,-1.8729166666666666,73.4933294937062,NA,72.11,-21,10
2020-03-19,0,3.2041666666666666,2.120833333333333,92.75643141102364,NA,72.86,-24,14
2020-03-20,0,1.2159722222222222,-3.0868055555555554,75.42367095573536,NA,82.7,-29,16
