date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,2.928472222222222,NA,NA,NA,206.29,-3,0
2020-02-16,0,3.212152777777778,NA,NA,NA,164.36,-2,-1
2020-02-17,0,2.2222222222222223,NA,NA,NA,182.31,-24,4
2020-02-18,0,0.7263888888888889,NA,NA,NA,157.43,1,0
2020-02-19,0,0.8791666666666667,NA,NA,NA,156.16,1,-1
2020-02-20,0,1.5527777777777776,NA,NA,NA,165.66,2,-1
2020-02-21,0,1.7069444444444444,NA,NA,NA,195.83,3,-1
2020-02-22,0,2.710069444444444,NA,NA,NA,201.92,-1,0
2020-02-23,0,3.314583333333333,NA,NA,NA,147.53,-1,-1
2020-02-24,0,3.5163194444444446,NA,NA,NA,139.67,7,-2
2020-02-25,0,1.5923611111111111,NA,NA,NA,138.74,2,-1
2020-02-26,0,4.587847222222222,NA,NA,NA,148.03,3,-2
2020-02-27,0,5.022222222222222,NA,NA,NA,153.64,2,-1
2020-02-28,0,4.044791666666667,NA,NA,NA,190.37,4,-1
2020-02-29,0,5.152083333333334,NA,NA,NA,213.01,2,-1
2020-03-01,0,1.9399305555555555,NA,NA,NA,151.5,2,-2
2020-03-02,0,2.9569444444444444,NA,NA,NA,136.03,8,-1
2020-03-03,0,3.810542929292929,NA,NA,NA,137.97,2,0
2020-03-04,0,4.743402777777778,NA,NA,NA,149.19,2,-1
2020-03-05,0,3.529861111111111,NA,NA,NA,147.06,0,0
2020-03-06,0,4.46875,NA,NA,NA,181.52,0,0
2020-03-07,0,4.334375,NA,NA,NA,201.31,2,1
2020-03-08,0,3.126736111111111,NA,NA,NA,148.04,1,-1
2020-03-09,0,1.4958333333333333,NA,NA,NA,141.88,7,-2
2020-03-10,0,1.3496527777777778,NA,NA,NA,132.8,-1,1
2020-03-11,1,4.535416666666666,NA,NA,NA,128.22,-3,1
2020-03-12,0,2.3322916666666664,NA,NA,NA,128.27,-4,2
2020-03-13,2,2.807291666666667,NA,NA,NA,144.88,-4,3
2020-03-14,1,1.9902777777777778,NA,NA,NA,139.41,-3,4
2020-03-15,0,2.2940972222222222,NA,NA,NA,133.82,-5,3
2020-03-16,3,7.499305555555555,NA,NA,NA,124.41,-4,2
2020-03-17,2,4.006597222222222,NA,NA,NA,112.18,-24,10
2020-03-18,5,4.020833333333333,NA,NA,NA,117.49,-27,10
2020-03-19,4,5.557291666666667,NA,NA,NA,124.61,-30,11
2020-03-20,7,6.348611111111111,NA,NA,NA,135.59,-30,12
2020-03-21,3,6.169097222222222,NA,NA,NA,140.54,-24,9
2020-03-22,5,5.725694444444445,NA,NA,NA,99.67,-30,8
2020-03-23,0,6.7496527777777775,NA,NA,NA,85.05,-30,12
2020-03-24,12,5.027430555555555,NA,NA,NA,82.15,-39,16
2020-03-25,3,4.7875,NA,NA,NA,82.41,-42,17
2020-03-26,30,3.409375,NA,NA,NA,68.95,-49,21
2020-03-27,0,5.4059027777777775,NA,NA,NA,76.09,-47,22
2020-03-28,13,6.782291666666667,NA,NA,NA,70.99,-41,16
2020-03-29,8,7.144444444444445,NA,NA,NA,68.84,-42,12
2020-03-30,2,6.011805555555556,NA,NA,NA,69.53,-46,17
2020-03-31,20,2.4072916666666666,NA,NA,NA,74.4,-50,20
2020-04-01,7,4.177083333333333,NA,NA,1.2416229660583804,87.22,-50,19
2020-04-02,15,2.829861111111111,NA,NA,1.2381142015364397,72.69,-51,20
2020-04-03,10,2.982638888888889,NA,NA,1.2337750641923426,88.81,-49,22
2020-04-04,8,3.8135416666666666,NA,NA,1.228441844536179,98.9,-40,14
2020-04-05,0,4.697916666666667,NA,NA,1.2219503809370114,77.28,-42,11
2020-04-06,0,7.1559027777777775,NA,NA,1.2141439506897105,86.28,-46,16
2020-04-07,5,5.739583333333333,NA,NA,1.2048816353208913,84.92,-51,19
2020-04-08,3,6.644791666666666,NA,NA,1.1940464728861107,96.52,-51,18
2020-04-09,3,9.174305555555556,NA,NA,1.18155270597764,109.03,-51,19
2020-04-10,6,8.438194444444445,NA,NA,1.1673515504117549,111.72,-50,20
2020-04-11,7,9.886111111111111,NA,NA,1.1514351121654995,115.22,-41,13
2020-04-12,2,6.300347222222222,NA,NA,1.133838315226121,92.91,-45,10
2020-04-13,4,6.10625,NA,NA,1.1146389156182943,96.87,-43,15
2020-04-14,4,8.596180555555556,NA,NA,1.0939558273472731,97.81,-46,17
2020-04-15,3,11.329513888888888,NA,NA,1.0719460586640852,105.12,-46,16
2020-04-16,11,9.947222222222223,NA,NA,1.0488005597699361,110.95,-47,17
2020-04-17,9,9.824305555555556,NA,NA,1.0247392401835864,120.47,-46,19
2020-04-18,8,11.847222222222221,NA,NA,1.0000053565706057,128.16,-36,12
2020-04-19,14,11.794444444444444,NA,NA,0.974859428206444,122.24,-36,9
2020-04-20,5,12.251388888888888,NA,NA,0.9495728256046233,112.39,-41,14
2020-04-21,7,11.710416666666667,NA,NA,0.9244212019331167,93.99,-45,17
2020-04-22,3,10.069097222222222,NA,NA,0.8996779856673037,91.77,-47,18
2020-04-23,25,8.932638888888889,NA,NA,0.8756082048922994,98.82,-46,17
2020-04-24,3,8.729861111111111,NA,NA,0.8524629442720932,123.81,-44,17
2020-04-25,4,9.363888888888889,NA,NA,0.8304747261647104,117.27,-36,13
2020-04-26,12,9.792361111111111,NA,NA,0.8098540508135704,112.36,-36,9
2020-04-27,6,8.810416666666667,NA,NA,0.7907872335032144,104.71,-40,14
2020-04-28,3,8.765625,NA,NA,0.7734355556712339,99.59,-42,9
2020-04-29,14,11.580555555555556,NA,NA,0.7579356230646881,105.89,-42,15
2020-04-30,7,11.193402777777777,NA,NA,0.7444007163677195,106.62,-43,16
2020-05-01,8,10.55625,NA,NA,0.7329228421514808,136.09,-41,15
2020-05-02,8,11.728819444444445,NA,NA,0.7235751515542087,114.6,-36,12
2020-05-03,9,8.246875,NA,NA,0.716414391414924,104.5,-34,8
2020-05-04,3,8.086458333333333,NA,NA,0.7114830831416808,108.62,-35,12
2020-05-05,7,12.16388888888889,NA,NA,0.7088111803492695,119.79,-39,13
2020-05-06,15,10.065972222222221,NA,NA,0.7084170274147452,117.13,-40,14
2020-05-07,10,9.641666666666667,NA,NA,0.7103075176810457,138.6,-40,13
2020-05-08,2,13.821875,NA,NA,0.7144774237094484,164.13,-39,13
2020-05-09,6,16.14236111111111,NA,NA,0.7209079370834137,208.28,-28,7
2020-05-10,4,17.209722222222222,NA,NA,0.7295645096412018,147.4,-28,3
2020-05-11,1,16.355555555555554,NA,NA,0.7403941333426984,NA,-35,11
2020-05-12,4,13.877777777777778,NA,NA,0.753322237571356,NA,-38,13
2020-05-13,5,12.278819444444444,NA,NA,0.7682494283410642,125.17,-38,13
2020-05-14,5,10.866666666666667,NA,NA,0.7850483512134673,133.1,-38,14
2020-05-15,7,12.323958333333334,NA,NA,0.8035610314608879,173.42,-36,13
2020-05-16,2,10.50173611111111,NA,NA,0.8235971230657307,152.06,-28,10
2020-05-17,0,12.731944444444444,NA,NA,0.8449335589667342,145.48,-27,6
2020-05-18,1,11.401736111111111,NA,NA,0.8673161002604985,152.83,-31,9
2020-05-19,0,12.259027777777778,NA,NA,0.8904631892067935,144.47,-35,12
2020-05-20,0,13.567708333333334,NA,NA,0.9140722932132544,142.61,-36,13
2020-05-21,0,10.021180555555556,NA,NA,0.9378285971353586,149.31,-38,13
2020-05-22,0,9.272222222222222,NA,NA,0.9614155234625208,193.77,-37,13
2020-05-23,0,10.843402777777778,NA,NA,0.9845262374410892,210.99,-23,6
2020-05-24,0,13.391319444444445,NA,NA,1.0068751292152154,185.6,-27,3
2020-05-25,0,13.580208333333333,NA,NA,1.028208309177185,141.3,-71,19
2020-05-26,1,13.649305555555555,NA,NA,1.0483123764082931,158.04,-34,11
2020-05-27,1,13.223611111111111,NA,NA,1.0670210248688339,161.91,-33,10
2020-05-28,0,16.320486111111112,NA,NA,1.084219321205963,170.18,-35,10
2020-05-29,2,17.706944444444446,NA,NA,1.0998456461767534,195.78,-32,10
2020-05-30,2,13.660763888888889,NA,NA,1.113891336027249,148.92,-22,10
2020-05-31,2,10.665972222222223,NA,NA,1.1263980488421297,144.32,-20,5
2020-06-01,1,10.869791666666666,NA,NA,1.137452890483307,160.67,-27,7
2020-06-02,3,11.265972222222222,NA,NA,1.1471814169496428,152.9,-33,12
2020-06-03,5,12.578125,NA,NA,1.1557387901255634,169.42,-31,10
2020-06-04,3,11.797916666666667,NA,NA,1.1632995657320728,165.91,-34,10
2020-06-05,4,11.412847222222222,NA,NA,1.170046778674644,194.38,-32,10
2020-06-06,-1,11.69513888888889,NA,NA,1.1761611064473383,199.88,-20,6
2020-06-07,0,11.662152777777777,NA,NA,1.1818108988102725,168.2,-19,3
2020-06-08,1,11.263194444444444,NA,NA,1.1871437519188928,173.98,-27,7
2020-06-09,0,10.38263888888889,NA,NA,1.1922800965348122,157.49,-32,11
