date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,9.264732142857143,5.848511904761905,82.35908652422084,NA,133.47,-1,-1
2020-02-16,0,11.620833333333334,5.904166666666667,70.114684676311,NA,115.3,1,-2
2020-02-17,0,11.720833333333333,5.366666666666667,74.80256646697532,NA,112.4,-38,8
2020-02-18,0,10.816666666666666,2.6375,63.86175924030714,NA,110.31,2,-1
2020-02-19,0,8.427777777777777,2.055555555555556,70.20571420584407,NA,113.08,2,0
2020-02-20,0,9.908333333333333,4.620833333333334,73.13786044081496,NA,117.98,2,-1
2020-02-21,0,12.508333333333333,5.016666666666667,67.49887867297217,NA,134.29,2,-1
2020-02-22,0,11.304166666666667,5.141666666666667,69.73394058393379,NA,132.01,2,-1
2020-02-23,0,9.076805555555556,5.806180555555556,83.66084243651521,NA,103.73,4,-1
2020-02-24,0,12.129166666666666,5.120833333333334,68.03106533080604,NA,106.81,3,0
2020-02-25,0,13.925,4.704166666666667,60.401861718136445,NA,109.09,4,-1
2020-02-26,0,13.166666666666666,5.908333333333333,67.27411235643521,NA,108.45,3,-1
2020-02-27,0,13.4,6.808333333333334,69.04117217648185,NA,114.05,2,-1
2020-02-28,0,13.920833333333333,7.979166666666667,71.56462897656826,NA,128.49,3,-1
2020-02-29,0,10.063888888888888,5.063194444444444,78.32721094355578,NA,126.63,4,-1
2020-03-01,0,9.5625,0.8416666666666667,59.027709518505596,NA,96.79,3,0
2020-03-02,1,14.945833333333333,-7.525,20.991935008391234,NA,101.59,3,-1
2020-03-03,0,16.858333333333334,4.6125,48.23738328879001,NA,108.76,4,-1
2020-03-04,0,14.058333333333334,7.477777777777778,70.50595123111516,NA,105.86,2,-1
2020-03-05,0,12.93125,8.1375,75.70332333329085,NA,111.14,2,0
2020-03-06,0,11.252083333333333,9.022916666666667,86.68465097287843,NA,125.48,1,0
2020-03-07,0,9.904166666666667,7.002083333333333,82.80761950300942,NA,113.94,1,1
2020-03-08,0,6.743263888888889,3.7335416666666665,83.74382300131876,NA,92.26,1,1
2020-03-09,2,10.816666666666666,5.45,73.35528768906299,NA,100.11,3,0
2020-03-10,0,12.75,4.85,65.4064950528992,NA,103.64,3,0
2020-03-11,0,13.270833333333334,6.270833333333333,66.91434009289549,NA,102.6,1,0
2020-03-12,0,12.278472222222222,7.505357142857143,77.79178876295013,NA,100.52,-1,0
2020-03-13,0,10.477152777777778,8.46673611111111,88.68716621023103,NA,107.46,-2,2
2020-03-14,-2,9.773958333333333,5.805555555555555,78.51205062647378,NA,86.95,-5,4
2020-03-15,1,8.302083333333334,4.009722222222222,76.61445598336987,NA,65.77,-6,5
2020-03-16,3,6.9875,2.775,77.30974007821348,NA,74.88,-20,7
2020-03-17,-1,6.7375,3.7027777777777775,83.01154281668973,NA,67.12,-29,11
2020-03-18,4,8.733333333333334,5.902083333333334,83.29381765425428,NA,54.25,-42,19
2020-03-19,-2,9.304166666666667,6.454166666666667,84.84824819146418,NA,55.67,-43,18
