date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-7.520833333333333,-13.595833333333333,63.13883852895843,NA,130.2,1,0
2020-02-16,0,2.622916666666667,-3.775,63.473847524706116,NA,96.86,-1,-1
2020-02-17,0,1.3354166666666667,-3.43125,72.09528985804268,NA,108.37,-16,4
2020-02-18,0,7.1000000000000005,2.3777777777777778,72.58058327224019,NA,107,1,0
2020-02-19,0,-0.21666666666666665,-6.245833333333334,66.00555425139116,NA,110.49,2,0
2020-02-20,0,-4.5472222222222225,-11.577777777777778,58.74447418389299,NA,116.58,2,0
2020-02-21,0,-6.054166666666667,-12.772916666666667,61.428993969691895,NA,138.37,2,0
2020-02-22,0,0.03125000000000003,-10.772916666666667,46.72705499477219,NA,137.46,3,-1
2020-02-23,0,3.15,-9.002083333333333,41.817061330010645,NA,91.87,1,-1
2020-02-24,0,5.49375,-3.4125,53.80800972331079,NA,101.8,3,0
2020-02-25,0,6.247916666666667,3.292361111111111,81.76531460574246,NA,111,2,0
2020-02-26,0,3.7229166666666664,1.85625,87.80559371707362,NA,113.07,2,-1
2020-02-27,0,-3.5462797619047617,-7.562053571428572,74.36744791412394,NA,110.78,0,1
2020-02-28,0,-5.372083333333333,-10.144027777777778,69.9075113306684,NA,134.28,2,0
2020-02-29,0,-4.83125,-10.690972222222221,64.49460235892566,NA,141.17,3,-1
2020-03-01,0,-0.8166666666666667,-8.714583333333334,57.826400995389,NA,97.15,3,-2
2020-03-02,0,8.135416666666668,0.8125,62.987118252414916,NA,106.43,2,1
2020-03-03,0,9.409722222222221,7.08125,85.94073765803167,NA,112.69,2,-1
2020-03-04,0,4.695833333333333,0.03333333333333337,72.37188442874302,NA,112.65,2,-1
2020-03-05,0,3.4791666666666665,-3.316666666666667,63.669972953909586,NA,119.19,2,-1
2020-03-06,0,3.134027777777778,-0.9520833333333334,76.11083403204483,NA,142.5,3,0
2020-03-07,0,0.45624999999999993,-4.85625,68.94166370037186,NA,151.42,2,-1
2020-03-08,0,5.366666666666666,-4.683333333333334,51.912459914253766,NA,100.23,0,-2
2020-03-09,0,12.845833333333333,-0.5791666666666667,40.1366075291619,NA,110.88,1,0
2020-03-10,0,11.332638888888889,5.6930555555555555,71.62583192293377,NA,111.77,0,0
2020-03-11,1,3.8715277777777777,1.0243055555555556,82.09836181799143,NA,108.3,1,0
