date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,NA,NA,NA,NA,170.51,1,NA
2020-02-16,0,NA,NA,NA,NA,149.23,7,NA
2020-02-17,0,NA,NA,NA,NA,138.98,-5,2
2020-02-18,0,NA,NA,NA,NA,111.58,1,0
2020-02-19,0,7.5,-7.62962962962963,34.67091634466767,NA,95.77,6,-4
2020-02-20,0,2.4722222222222223,-4.805555555555555,63.18325000182192,NA,118.72,3,-1
2020-02-21,0,-2.579710144927536,-12.869565217391305,50.68974877390494,NA,141.58,6,-3
2020-02-22,0,3.618055555555556,-9.5,41.62350712358972,NA,151.12,10,NA
2020-02-23,0,7.006944444444445,-0.7430555555555556,63.100939558466884,NA,114.85,0,NA
2020-02-24,0,8.097222222222221,7.652777777777778,97.44318311946884,NA,110.36,10,1
2020-02-25,0,4.333333333333333,4.180555555555555,98.97767213307594,NA,114.8,6,0
2020-02-26,0,0.9305555555555556,-1.5138888888888888,85.35278500354784,NA,108.93,8,-3
2020-02-27,0,0.513888888888889,-5,71.26499021609085,NA,126.43,5,-2
2020-02-28,0,5.257575757575758,-0.19696969696969696,74.17020124758282,NA,163.93,9,-4
2020-02-29,0,8.804347826086957,-1.826086956521739,51.64039808793975,NA,196.43,9,NA
2020-03-01,0,13.481481481481481,6.388888888888889,63.40587240156035,NA,133.67,5,NA
2020-03-02,0,14.722222222222221,11.027777777777779,79.86908156622312,NA,127.35,12,-1
2020-03-03,0,9.819444444444445,1.9861111111111112,70.43894121164456,NA,123.93,7,-2
2020-03-04,0,9.277777777777779,-3.625,41.65868499548742,NA,128.57,13,-5
2020-03-05,0,8.9375,-1.5416666666666667,52.10720166975026,NA,139.69,11,-3
2020-03-06,0,8.128787878787879,-7.1893939393939394,35.956676511758346,NA,173.57,10,-4
2020-03-07,0,9.069444444444445,-7.083333333333333,32.879019338566145,NA,214.8,13,NA
2020-03-08,0,12,-4.263888888888889,35.28939181268556,NA,175.31,10,NA
2020-03-09,0,13.472222222222221,6.847222222222222,71.28985851855784,NA,145.61,7,1
2020-03-10,0,8.51388888888889,6.180555555555555,88.0164607777079,NA,169.44,4,-3
2020-03-11,0,13.055555555555555,8.402777777777779,75.6303125272456,NA,154.03,10,-4
2020-03-12,0,17.256944444444443,12.63888888888889,77.93126986377486,NA,168.32,7,-4
2020-03-13,0,9.9375,1.2916666666666665,57.97780998713316,NA,197.86,0,-2
2020-03-14,0,4.569444444444445,2.5555555555555554,89.29408453165284,NA,216.22,8,NA
2020-03-15,0,4.194444444444445,4.027777777777778,98.88930776108364,NA,186.12,3,NA
2020-03-16,0,4.083333333333333,4.083333333333333,100,NA,162.4,-11,5
2020-03-17,0,8.118055555555555,7.770833333333333,97.88623094513888,NA,153.57,-14,5
2020-03-18,0,13.395833333333334,11.32638888888889,89.40778831412649,NA,136.02,-17,3
2020-03-19,0,16.583333333333332,15.833333333333334,95.79739994940809,NA,132.3,-24,9
2020-03-20,0,10.652777777777779,9.041666666666666,90.41983055789174,NA,127.55,-21,NA
2020-03-21,0,3.0902777777777777,-1.8958333333333333,74.39609756300818,NA,112.5,-12,NA
2020-03-22,0,5.805555555555555,3.3194444444444446,86.62160680518934,NA,80.46,-26,NA
2020-03-23,0,8.772727272727273,7.204545454545455,91.38275758574903,NA,95.77,-20,NA
2020-03-24,0,10.76388888888889,9.819444444444445,94.29850348657749,NA,77.96,-33,NA
2020-03-25,0,11.805555555555555,8.944444444444445,85.65526549395692,NA,101.22,-31,NA
2020-03-26,0,18.354166666666668,11.840277777777779,71.34839939610468,NA,109.85,-32,NA
2020-03-27,0,23.604166666666668,16.88888888888889,67.14064886543999,NA,116.58,-31,NA
2020-03-28,0,21.01388888888889,14.756944444444445,71.71715567926884,NA,101.38,-28,NA
2020-03-29,0,14.180555555555555,1.2777777777777777,44.48923784574094,NA,96.58,-39,NA
2020-03-30,1,13.54861111111111,2.2847222222222223,48.03421750146817,NA,88.47,-31,NA
2020-03-31,0,11.333333333333334,7.492753623188406,82.21285606197588,NA,103.67,-38,NA
2020-04-01,1,13.728070175438596,6.666666666666667,67.20213714316567,0.7425560905664964,101.33,-37,NA
2020-04-02,0,16.963768115942027,6.318840579710145,51.398243798620555,0.74461124238245735,85.82,-37,NA
2020-04-03,0,12.534722222222221,9.555555555555555,84.84228395298034,0.7471237827950711,85.2,-38,NA
2020-04-04,0,3.2222222222222223,3.2222222222222223,100,0.7501079143108246,85.71,-33,NA
2020-04-05,0,8.645833333333334,8.1875,97.21440797242629,0.753580258386838,73.11,-41,NA
2020-04-06,1,15.73611111111111,13.166666666666666,87.00874730001308,0.7575596284430789,76.53,-38,NA
2020-04-07,0,20.625,16.90277777777778,81.16932926182409,0.7620666163932974,92.4,-40,NA
2020-04-08,0,23.52777777777778,16.666666666666668,71.48702790891848,0.7671229636517414,107.45,-40,NA
2020-04-09,0,15.895833333333334,3.3333333333333335,44.99752346472118,0.7727506776285713,101.12,-40,NA
2020-04-10,1,8.63888888888889,-6.083333333333333,36.511699735892456,0.7789708711640287,119.69,-43,NA
2020-04-11,0,11.131944444444445,1.7708333333333335,54.78018155251352,0.7858023424826824,93.27,-32,NA
2020-04-12,-1,14.17361111111111,12.416666666666666,90.61156418857595,0.7932599661925149,63.32,-46,NA
2020-04-13,0,3.1944444444444446,-2.3055555555555554,71.5262863229714,0.8013530175243826,86.53,-36,NA
2020-04-14,0,4.513888888888889,-3.2777777777777777,62.72267261168439,0.8100835894893892,90.2,-40,NA
2020-04-15,0,6.958333333333333,-1.7013888888888888,60.12719868939142,0.8194452767152653,105.87,-35,NA
2020-04-16,0,11.569444444444445,-0.22222222222222224,49.00186364724215,0.8294222858409965,112.4,-35,NA
2020-04-17,0,10.666666666666666,4.260869565217392,70.27400802027168,0.8399890908097905,116.48,-35,NA
2020-04-18,0,7.340277777777778,-0.8333333333333334,64.85657865307624,0.8511106875695296,153.32,-25,NA
2020-04-19,0,11.76388888888889,7.291666666666667,78.6640518604678,0.8627434270321752,97.4,-34,NA
2020-04-20,0,12.98611111111111,9.083333333333334,82.17050267646684,0.8748363323876801,116.84,-32,NA
2020-04-21,0,15.993055555555555,6.548611111111111,62.07807024450296,0.8873327534707658,118.88,-36,NA
2020-04-22,0,13.847826086956522,6.760869565217392,67.3098255820307,0.9001721906028405,96.28,-36,NA
2020-04-23,0,13.944444444444445,12.152777777777779,90.54762385902255,0.9132921388681484,114.34,-33,NA
2020-04-24,0,15.25,13.5,90.94282978284865,0.926629854474555,124.03,-35,NA
2020-04-25,0,14.131944444444445,10.125,80.21054001515859,0.9401240080395491,154.8,-28,NA
2020-04-26,0,13.368055555555555,6.069444444444445,68.20415903913803,0.9537162375255912,168.37,-31,NA
2020-04-27,0,15.25,7.951388888888889,64.10687344558792,0.9673526203379449,117.4,-28,NA
2020-04-28,0,18.92361111111111,15.20138888888889,80.62038163047484,0.9809850383919484,120.77,-35,NA
2020-04-29,0,13.597222222222223,10.180555555555555,82.35307702463244,0.9945723236761419,140.51,-34,NA
2020-04-30,0,15.144927536231885,5.420289855072464,55.103550308217585,1.0080809798979125,165.82,-32,NA
2020-05-01,0,18.19298245614035,9.771929824561404,63.76825344160248,1.0214852241389756,220.87,-32,NA
2020-05-02,0,23.006944444444443,13.63888888888889,57.26605163799181,1.034766118254703,347.76,-24,NA
2020-05-03,0,20.131944444444443,17.6875,87.74818067816051,1.0479096732172388,155.66,-30,NA
2020-05-04,0,16.84722222222222,16.631944444444443,98.71382095514835,1.0609039872117842,125.66,-28,NA
2020-05-05,0,16.384057971014492,10.695652173913043,75.8362012790373,1.0737356718803526,142.5,-28,7
2020-05-06,0,14.01388888888889,4.465277777777778,54.13671828427909,1.0863859779935505,163.47,-26,4
2020-05-07,0,12.291666666666666,7.541666666666666,75.77762513017812,1.098827115183393,149.74,-28,NA
2020-05-08,0,13.01388888888889,8.902777777777779,81.44710257651192,1.111019259538235,189.08,-27,NA
2020-05-09,0,10.305555555555555,1.5833333333333333,60.747819477339384,1.1229086702773863,226.84,-14,NA
2020-05-10,0,12.11111111111111,4.618055555555555,64.46166949218518,1.1344272158047934,170.97,-21,NA
2020-05-11,0,7.861111111111111,3.0625,74.21450188198963,1.1454934619770667,NA,-24,NA
2020-05-12,0,6.270833333333333,6.270833333333333,100,1.1560153154162696,NA,-29,NA
2020-05-13,0,12.090277777777779,11.965277777777779,99.26316851373407,1.1658940505358646,171.53,-26,6
2020-05-14,0,21.131944444444443,18.666666666666668,87.34246532454638,1.1750293905240061,191.02,-26,6
2020-05-15,0,17.4375,16.881944444444443,96.858404000989,1.1833251774036637,224.95,-28,NA
2020-05-16,0,18.6875,18.34722222222222,98.12971147874211,1.1906950797896447,246.07,-14,NA
2020-05-17,0,19.0625,16.868055555555557,88.73236766953227,1.1970677746958438,231.33,-20,NA
2020-05-18,1,13.854166666666666,11.534722222222221,87.14536025387197,1.2023911154898816,212.76,-18,NA
2020-05-19,0,14.555555555555555,11.70138888888889,84.51937107991543,1.2066349532857485,230.61,-25,6
2020-05-20,0,15.38888888888889,13.381944444444445,89.00986516317651,1.209792480452017,258.83,-21,3
2020-05-21,0,17.38888888888889,15.069444444444445,88.05726884942335,1.2118801636089227,297.5,-21,3
2020-05-22,0,17.65277777777778,17.36111111111111,98.33179028623276,1.2129364829415203,409.29,-24,NA
2020-05-23,0,21.569444444444446,17.430555555555557,80.73295789116152,1.2130197694369953,636.94,-13,NA
2020-05-24,0,22.631944444444443,20.4375,88.73947109364795,1.2122054370486646,559.95,-16,NA
2020-05-25,0,20.38888888888889,20.118055555555557,98.46851800561579,1.2105828729403565,391.68,-57,NA
2020-05-26,0,20.53472222222222,18.979166666666668,91.78943738665963,1.2082522116505112,272.65,-21,5
2020-05-27,0,18.95138888888889,17.65972222222222,93.01603141008198,1.2053211977243408,215.05,-21,4
2020-05-28,0,17.5625,15.770833333333334,90.60674519585083,1.201902328298966,249.34,-20,6
2020-05-29,0,19.63888888888889,14.875,78.86697912596442,1.1981104349809786,365.77,-19,3
2020-05-30,0,19.131944444444443,11.229166666666666,64.13174702299182,1.1940607887153245,511.79,6,NA
