date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,9.305555555555555,-0.4444444444444445,53.35229064672572,NA,125.35,2,NA
2020-02-16,0,9.625,6.944444444444445,84.00021243381333,NA,82.16,-5,NA
2020-02-17,0,12.347222222222221,10.76388888888889,90.46721772189791,NA,111.17,-16,NA
2020-02-18,0,17.40277777777778,15.972222222222221,91.45233568925123,NA,102.87,1,1
2020-02-19,0,18.708333333333332,17.13888888888889,90.828413582937,NA,119.96,-1,0
2020-02-20,0,11.753623188405797,10.36231884057971,91.3056879062992,NA,107.41,-5,4
2020-02-21,0,7.231884057971015,2.4782608695652173,73.92113328252523,NA,149.16,0,-1
2020-02-22,0,5.694444444444445,-2.0833333333333335,64.57358264580562,NA,156.13,-1,NA
2020-02-23,0,7.611111111111111,0.3472222222222222,66.9576179464734,NA,97.88,5,NA
2020-02-24,0,13.76388888888889,8.375,70.39443210402038,NA,100.99,0,0
2020-02-25,0,17.819444444444443,16.458333333333332,91.92485458465367,NA,112.01,2,0
2020-02-26,0,15.083333333333334,12.097222222222221,83.62343577797134,NA,134.39,0,-4
2020-02-27,0,8.416666666666666,-1.4166666666666667,52.82893507537484,NA,149.85,1,-4
2020-02-28,0,7.569444444444445,-1.7083333333333333,59.047128666697525,NA,185.57,3,-5
2020-02-29,0,11.38888888888889,-0.8472222222222222,46.82343980521587,NA,173.57,8,NA
2020-03-01,0,10.458333333333334,0.986111111111111,58.22088891054884,NA,103.06,4,NA
2020-03-02,0,14.51388888888889,7.680555555555555,64.69392013033317,NA,106.62,0,-2
2020-03-03,0,19.833333333333332,16.944444444444446,83.88163778957045,NA,106.27,0,-1
2020-03-04,0,17,15.61111111111111,91.67027440196206,NA,97.63,-6,4
2020-03-05,0,13.916666666666666,12.277777777777779,90.03382259823195,NA,118.48,-5,4
2020-03-06,0,13.652777777777779,4.847222222222222,64.58720570893217,NA,143.87,-11,-2
2020-03-07,0,10.430555555555555,-1.625,45.47137105842075,NA,123.76,4,NA
2020-03-08,0,10.444444444444445,2.8055555555555554,64.38799930120925,NA,91.25,1,NA
2020-03-09,0,15.38888888888889,8.444444444444445,66.41337374451574,NA,120.55,4,-4
2020-03-10,0,18.76388888888889,12.875,69.95393214671616,NA,144.66,2,-3
2020-03-11,0,19.65277777777778,15.305555555555555,77.1032022850317,NA,119.12,-1,-4
2020-03-12,0,20.375,16.51388888888889,80.57239777420718,NA,134.49,1,-4
2020-03-13,0,22.27777777777778,16.15277777777778,70.23181093309056,NA,142.09,1,-5
2020-03-14,0,22.63888888888889,15.73611111111111,69.05951306187049,NA,119.81,3,NA
2020-03-15,0,23.01388888888889,14.625,61.59488446325524,NA,76.38,-5,NA
2020-03-16,0,19.63888888888889,15.916666666666666,79.6323494017455,NA,96.15,-12,1
2020-03-17,0,19.76388888888889,17.319444444444443,86.42030149235397,NA,85.67,-18,NA
2020-03-18,0,22,17.805555555555557,79.6572177703227,NA,97.13,-23,NA
