date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,5.773611111111111,-4.254166666666666,52.78165789303012,NA,169.72,3,NA
2020-02-16,0,7.945833333333333,5.438888888888889,84.98127053361449,NA,124.09,-3,NA
2020-02-17,0,10.765277777777778,9.9875,95.06882187241551,NA,125.69,-5,4
2020-02-18,0,14.4875,14.140277777777778,97.80188283023155,NA,114.67,1,4
2020-02-19,0,14.693055555555556,13.41388888888889,92.37283538437319,NA,104.87,1,2
2020-02-20,0,9.29861111111111,8.080555555555556,92.3771770861042,NA,128.1,0,5
2020-02-21,0,4.723958333333333,-0.9368055555555556,69.6221216183599,NA,192.57,-1,1
2020-02-22,0,3.852777777777778,-3.725,65.28888798188169,NA,168.51,10,NA
2020-02-23,0,5.090277777777778,-0.4638888888888889,72.05806491699786,NA,119.23,5,NA
2020-02-24,0,9.487499999999999,6.856944444444444,84.7781932243812,NA,112.88,2,3
2020-02-25,0,15.709722222222222,12.402777777777779,83.17730559855246,NA,126.39,4,0
2020-02-26,0,9.514236111111112,6.91875,85.22314625642547,NA,130.25,1,-1
2020-02-27,0,5.304166666666666,-3.852777777777778,53.593338271534,NA,139.55,2,0
2020-02-28,0,4.444444444444445,-2.702777777777778,66.40624992730473,NA,178.71,1,-1
2020-02-29,0,7.777777777777778,-1.4333333333333333,57.6833003613623,NA,199.1,1,NA
2020-03-01,0,7.920833333333333,0.9222222222222222,66.92915771378341,NA,136.86,9,NA
2020-03-02,0,12.551388888888889,8.254166666666666,77.48765348130739,NA,113.47,5,2
2020-03-03,0,17.120833333333334,16.65,97.1078344097784,NA,115.8,1,1
2020-03-04,0,14.325,13.804166666666667,96.74489894680272,NA,118.8,-3,2
2020-03-05,0,11.783333333333333,10.965277777777779,94.83961779567436,NA,127.87,2,2
2020-03-06,0,10.722222222222221,3.047222222222222,65.66671082844239,NA,185.29,2,-1
2020-03-07,0,8.17986111111111,-3.3756944444444446,47.92979307477627,NA,179.6,7,NA
2020-03-08,0,9.105555555555556,0.004166666666666674,59.10589282482403,NA,117.48,7,NA
2020-03-09,0,12.222222222222221,5.601388888888889,67.19801446572188,NA,144.92,4,-1
2020-03-10,0,15.222222222222223,12.205555555555556,83.1434640198314,NA,134.99,2,2
2020-03-11,0,14.8875,14.181944444444445,95.77330050586328,NA,138.3,2,0
2020-03-12,0,17.711111111111112,14.119444444444444,83.40042055666974,NA,135.69,5,0
2020-03-13,0,19.881944444444443,16.384722222222223,80.94245784251133,NA,153.68,2,0
2020-03-14,0,19.552777777777777,15.022222222222222,79.1187093595188,NA,181.59,8,NA
2020-03-15,0,19.277430555555554,15.307638888888889,78.98034489961968,NA,138.03,-2,NA
2020-03-16,0,19.011111111111113,15.229166666666666,79.86667595730985,NA,136.08,-2,3
2020-03-17,0,18.694444444444443,16.052777777777777,85.7421527134257,NA,132.43,-8,6
2020-03-18,0,19.316666666666666,16.045833333333334,83.91156742846661,NA,144.22,-12,6
