date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,11.860606060606061,6.33030303030303,70.04513880975514,NA,145.22,4,-2
2020-02-16,0,16.695652173913043,15.744927536231884,94.34989069064356,NA,93.4,0,-1
2020-02-17,0,15.971014492753623,15.142028985507245,94.99817634418635,NA,104.92,-1,2
2020-02-18,0,21.163636363636364,20.61449275362319,96.51813633344523,NA,110.93,2,1
2020-02-19,0,20.778260869565216,19.392753623188405,92.34101868032171,NA,114.22,3,0
2020-02-20,0,16.465151515151515,15.822727272727272,96.08761353629924,NA,117.82,-3,3
2020-02-21,0,8.098484848484848,2.675757575757576,70.74949525807088,NA,145.66,1,0
2020-02-22,0,8.068115942028985,3.163768115942029,72.41642948746367,NA,138.59,-1,-1
2020-02-23,0,12.00952380952381,8.876190476190477,83.01014668532389,NA,113.66,4,-4
2020-02-24,0,16.734782608695653,14.259420289855072,85.83455736058362,NA,139.45,-19,2
2020-02-25,0,17.779710144927535,15.601449275362318,87.83506775705338,NA,121.12,-56,8
2020-02-26,0,13.16060606060606,6.828787878787879,69.34386302272912,NA,120.78,-14,2
2020-02-27,0,8.001449275362319,-0.00869565217391304,58.68071884468782,NA,126.48,-12,1
2020-02-28,0,8.69855072463768,3.134782608695652,72.09104875759533,NA,134.79,-10,1
2020-02-29,0,11.744927536231884,5.869565217391305,73.32452989003995,NA,118.42,-2,-1
2020-03-01,0,13.077272727272728,9.456060606060607,80.73105151486092,NA,89.6,0,-2
2020-03-02,0,19.895454545454545,16.674242424242426,82.33310785943684,NA,119.34,2,-1
2020-03-03,0,21.044696969696968,19.811363636363637,93.02663630182602,NA,126.02,3,-1
2020-03-04,0,22.96666666666667,21.91304347826087,93.9620079023727,NA,117.71,1,0
2020-03-05,0,16.015942028985506,13.84927536231884,87.93980557909443,NA,130.34,1,-1
2020-03-06,0,14.842028985507246,4.402898550724638,55.15482816481521,NA,142.36,2,-1
2020-03-07,0,11.450724637681159,2.792753623188406,57.01833179993023,NA,120.79,1,-1
