date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,5.7027777777777775,NA,NA,NA,130.52,2,NA
2020-02-16,0,12.724652777777777,NA,NA,NA,94.37,6,NA
2020-02-17,0,15.189583333333333,NA,NA,NA,104.52,-12,NA
2020-02-18,0,17.939583333333335,NA,NA,NA,105.88,0,NA
2020-02-19,0,6.6819444444444445,NA,NA,NA,96.16,3,NA
2020-02-20,0,6.326388888888889,NA,NA,NA,110.66,3,NA
2020-02-21,0,3.7854166666666664,NA,NA,NA,146.72,3,NA
2020-02-22,0,3.4295138888888888,NA,NA,NA,120.29,-8,NA
2020-02-23,0,8.13298611111111,NA,NA,NA,103.75,-2,NA
2020-02-24,0,14.639236111111112,NA,NA,NA,111.51,-1,NA
2020-02-25,0,10.907291666666666,NA,NA,NA,112.19,-3,NA
2020-02-26,0,8.948263888888889,NA,NA,NA,113.81,3,NA
2020-02-27,0,3.3847222222222224,NA,NA,NA,122.42,2,NA
2020-02-28,0,6.914930555555555,NA,NA,NA,147.06,2,NA
2020-02-29,0,10.190277777777778,NA,NA,NA,148.51,3,NA
2020-03-01,0,15.702777777777778,NA,NA,NA,93.61,2,NA
2020-03-02,0,18.573958333333334,NA,NA,NA,109.46,3,NA
2020-03-03,0,19.344444444444445,NA,NA,NA,106.31,1,NA
2020-03-04,0,13.121180555555556,NA,NA,NA,115.52,3,NA
2020-03-05,0,13.790972222222223,NA,NA,NA,119.27,5,NA
2020-03-06,0,11.52326388888889,NA,NA,NA,128.05,4,NA
2020-03-07,0,9.660763888888889,NA,NA,NA,191.22,0,NA
2020-03-08,0,10.977777777777778,NA,NA,NA,106.99,-2,NA
2020-03-09,0,15.205902777777778,NA,NA,NA,115.77,0,NA
2020-03-10,0,19.306597222222223,NA,NA,NA,126.43,2,NA
2020-03-11,0,19.825694444444444,NA,NA,NA,121.91,4,NA
2020-03-12,0,21.958680555555556,NA,NA,NA,115.69,2,NA
2020-03-13,0,18.62361111111111,NA,NA,NA,136.15,2,NA
2020-03-14,0,16.566319444444446,NA,NA,NA,131.2,2,NA
2020-03-15,0,13.395833333333334,NA,NA,NA,95.06,-8,NA
2020-03-16,0,11.723958333333334,NA,NA,NA,107.76,-12,NA
2020-03-17,0,15.25,NA,NA,NA,103.07,-13,NA
2020-03-18,0,18.37465277777778,NA,NA,NA,100.77,-13,NA
2020-03-19,0,22.539583333333333,NA,NA,NA,104.52,-11,NA
2020-03-20,0,21.160763888888887,NA,NA,NA,94.97,-15,NA
2020-03-21,0,12.3875,NA,NA,NA,87.81,-15,NA
2020-03-22,0,12.20138888888889,NA,NA,NA,59.85,-24,NA
2020-03-23,0,14.564930555555556,NA,NA,NA,74.68,-23,NA
2020-03-24,0,19.350347222222222,NA,NA,NA,76.98,-31,NA
2020-03-25,2,19.25034722222222,NA,NA,NA,88.49,-34,NA
2020-03-26,0,20.46527777777778,NA,NA,NA,85.68,-31,NA
2020-03-27,2,24.117361111111112,NA,NA,NA,84.23,-35,NA
2020-03-28,3,24.67326388888889,NA,NA,NA,72.38,-22,NA
2020-03-29,2,16.608333333333334,NA,NA,NA,71.53,-31,NA
2020-03-30,0,15.633333333333333,NA,NA,NA,75.28,-35,NA
2020-03-31,0,13.716319444444444,NA,NA,NA,74.34,-30,NA
2020-04-01,2,13.339930555555556,NA,NA,1.0842778705876037,77.66,-29,NA
2020-04-02,2,15.418402777777779,NA,NA,1.0831649536123777,89.77,-31,NA
