date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,1.2027777777777777,NA,NA,NA,140.52,1,-1
2020-02-16,0,8.287847222222222,NA,NA,NA,104.62,-5,0
2020-02-17,0,6.825,NA,NA,NA,122.59,-16,3
2020-02-18,0,12.131944444444445,NA,NA,NA,107.64,-8,3
2020-02-19,0,9.546180555555555,NA,NA,NA,100.9,2,0
2020-02-20,0,5.444097222222222,NA,NA,NA,101.54,-1,3
2020-02-21,0,1.2958333333333334,NA,NA,NA,126.54,-12,4
2020-02-22,0,1.1045138888888888,NA,NA,NA,140.71,2,0
2020-02-23,0,3.65,NA,NA,NA,99.89,1,0
2020-02-24,0,6.951736111111111,NA,NA,NA,99.24,1,2
2020-02-25,0,11.038541666666667,NA,NA,NA,111.64,4,-1
2020-02-26,0,5.8500000000000005,NA,NA,NA,111.91,3,0
2020-02-27,0,2.287847222222222,NA,NA,NA,114.37,2,-1
2020-02-28,0,1.7756944444444445,NA,NA,NA,138.75,0,-1
2020-02-29,0,3.6173611111111112,NA,NA,NA,140.34,1,-2
2020-03-01,0,5.0531250000000005,NA,NA,NA,110.83,-1,-2
2020-03-02,0,10.778125,NA,NA,NA,100.44,1,2
2020-03-03,0,15.831944444444444,NA,NA,NA,94.73,1,-1
2020-03-04,0,11.901388888888889,NA,NA,NA,101.2,1,-1
2020-03-05,0,10.219097222222222,NA,NA,NA,113.09,0,0
2020-03-06,0,7.313287037037037,NA,NA,NA,143.97,-1,0
2020-03-07,0,4.2815972222222225,NA,NA,NA,139.14,3,-1
2020-03-08,0,6.814236111111111,NA,NA,NA,107.98,-1,-1
2020-03-09,0,12.284027777777778,NA,NA,NA,118.17,0,0
2020-03-10,0,14.170833333333333,NA,NA,NA,109.89,0,1
2020-03-11,0,16.169444444444444,NA,NA,NA,112.24,2,0
2020-03-12,0,16.598263888888887,NA,NA,NA,107.24,1,0
2020-03-13,0,17.019791666666666,NA,NA,NA,121.44,-2,1
2020-03-14,0,13.145138888888889,NA,NA,NA,117.89,0,3
2020-03-15,0,13.90798611111111,NA,NA,NA,83.42,-8,4
2020-03-16,0,10.670486111111112,NA,NA,NA,94.73,-14,7
2020-03-17,0,13.984027777777778,NA,NA,NA,91.93,-16,8
2020-03-18,0,16.394791666666666,NA,NA,NA,87.24,-18,9
2020-03-19,0,19.70104166666667,NA,NA,NA,99.38,-19,9
2020-03-20,0,19.95451388888889,NA,NA,NA,92.82,-24,13
2020-03-21,0,13.602083333333333,NA,NA,NA,94.96,-14,8
2020-03-22,0,9.903472222222222,NA,NA,NA,60.56,-28,NA
2020-03-23,0,13.117708333333333,NA,NA,NA,74.31,-29,14
2020-03-24,0,15.985069444444445,NA,NA,NA,70.38,-32,15
2020-03-25,0,15.607986111111112,NA,NA,NA,88.73,-31,14
2020-03-26,0,14.472916666666666,NA,NA,NA,97.7,-33,14
