date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-9.347222222222221,-14.319444444444445,67.55657121043856,NA,128.8,7,-1
2020-02-16,0,-3.861111111111111,-9.375,69.63228516835899,NA,100.12,3,-1
2020-02-17,0,-2.236111111111111,-6.3125,75.46733825155432,NA,105.99,-6,3
2020-02-18,0,-1.1805555555555556,-3.8125,83.70517126189108,NA,111.88,-1,1
2020-02-19,0,-9.61111111111111,-16.208333333333332,59.96177724998722,NA,108.5,1,0
2020-02-20,0,-14.180555555555555,-21.083333333333332,56.723666473199614,NA,113.32,1,1
2020-02-21,0,-9.180555555555555,-16.520833333333332,56.03939075293056,NA,132.52,2,0
2020-02-22,0,-0.4722222222222222,-7.5,59.62403513756384,NA,135.43,7,-2
2020-02-23,0,3.1180555555555554,-3.263888888888889,64.18325888610302,NA,95.84,3,-2
2020-02-24,0,0.8840579710144928,-3.8840579710144927,71.19332354076641,NA,101.02,3,0
2020-02-25,0,-0.06060606060606061,-3.6363636363636362,77.4699351963609,NA,102.72,1,1
2020-02-26,0,-3.6944444444444446,-7.875,73.27282978316725,NA,106.32,1,0
2020-02-27,0,-5.958333333333333,-12.458333333333334,60.78001168249549,NA,113.86,2,0
2020-02-28,0,-9.231884057971014,-15.594202898550725,61.52870863892684,NA,136.9,1,0
2020-02-29,0,-6.986111111111111,-16.27777777777778,49.38838943893222,NA,135.83,8,-2
2020-03-01,0,2.2916666666666665,-4.277777777777778,63.03003025978662,NA,97.62,4,-2
2020-03-02,0,2.3055555555555554,-1.9166666666666667,74.41990172994228,NA,102,3,0
2020-03-03,0,-0.23611111111111113,-2.9444444444444446,83.04263270176548,NA,107.73,-1,1
2020-03-04,0,1.3333333333333333,-4.055555555555555,69.11440107098262,NA,111.04,2,0
2020-03-05,0,1.6875,-4.270833333333333,65.64207209271355,NA,116.73,2,0
2020-03-06,0,-0.4696969696969697,-5.795454545454546,69.21239215161434,NA,136.75,4,0
2020-03-07,0,-0.9166666666666667,-7.5,65.16369885866779,NA,133.66,7,-2
2020-03-08,0,7.4021739130434785,-3,49.235379118074675,NA,96.43,1,-1
2020-03-09,0,9.36111111111111,2.888888888888889,68.305405451185635,NA,99.73,3,1
2020-03-10,0,3.6805555555555554,-0.3402777777777778,78.73833310506055,NA,109.17,2,0
2020-03-11,0,1.6111111111111112,4.391018798566293e-18,89.53941606360459,NA,107.15,1,0
2020-03-12,1,4.770833333333333,2.8402777777777777,88.51493919354047,NA,105.61,1,1
2020-03-13,0,2.8055555555555554,-4.4375,61.70484730427723,NA,116.72,0,2
