date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-10,-14.329166666666666,73.28156775810164,NA,129.91,2,0
2020-02-16,0,2.275,-4.141666666666667,63.25832792563535,NA,96.71,0,-1
2020-02-17,0,-0.6444444444444444,-3.8930555555555557,80.44057271110938,NA,112.36,-17,4
2020-02-18,0,5.631944444444445,2.346111111111111,80.27251182800381,NA,106.82,2,0
2020-02-19,0,-1.2354166666666666,-5.785416666666666,72.82357607467422,NA,108.92,4,0
2020-02-20,0,-5.206944444444445,-10.223611111111111,68.6290357862511,NA,106.85,1,1
2020-02-21,0,-6.320833333333334,-11.979166666666666,67.61880423543012,NA,129.09,4,0
2020-02-22,0,-0.3916666666666666,-10.525,48.68043305894542,NA,141.99,4,-1
2020-02-23,0,1.7125,-7.883333333333334,50.764536534662426,NA,91.77,8,-1
2020-02-24,0,3.3125,-2.725,65.68594583332198,NA,100.45,3,0
2020-02-25,0,4.164444444444444,3.1758333333333333,93.43375369967794,NA,107.73,3,0
2020-02-26,0,1.5306944444444446,1.075972222222222,96.87074562651001,NA,107.13,3,0
2020-02-27,0,-4.286210317460317,-7.848611111111111,77.10007042540107,NA,105.19,2,2
2020-02-28,0,-5.985416666666667,-10.021875,74.28496983302854,NA,132.23,3,0
2020-02-29,0,-5.275,-11.045833333333333,64.85497023949668,NA,139.39,7,-1
2020-03-01,0,-1.6458333333333333,-8.408333333333333,62.76532684457595,NA,91.33,5,-2
2020-03-02,0,6.686111111111111,1.292361111111111,71.63060436976521,NA,101.88,1,1
2020-03-03,0,8.61486111111111,7.241180555555555,91.99173016457713,NA,111.82,3,0
2020-03-04,0,3.9125,-0.175,75.36465730506697,NA,109.38,3,0
2020-03-05,0,2.0166666666666666,-3.466666666666667,69.88017591120081,NA,119.75,3,-1
2020-03-06,0,1.47625,-0.4145833333333333,87.55023628670322,NA,146.64,0,0
2020-03-07,0,-0.029861111111111168,-4.745833333333334,72.29743256432349,NA,146.07,8,-2
2020-03-08,0,4.9125,-4.470833333333333,54.72828546297268,NA,92.42,9,-2
2020-03-09,0,12.3875,-0.36666666666666664,41.85631829845783,NA,107.68,3,-1
2020-03-10,0,10.31860119047619,6.359077380952381,79.62481252757416,NA,108.98,1,1
2020-03-11,0,2.6409722222222225,1.17625,90.83586702140387,NA,102.81,2,0
2020-03-12,0,8.075,5.172916666666667,83.01519155241857,NA,100.86,0,0
2020-03-13,0,9.787450396825397,3.911111111111111,68.91664834459593,NA,113.14,-3,2
2020-03-14,0,2.5487847222222224,-4.785416666666666,59.68203112843682,NA,99.92,0,3
2020-03-15,0,2.0079166666666666,-1.803611111111111,77.95939140418473,NA,69.07,-4,3
