date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-0.11250000000000009,-6.8375,66.29657078478067,NA,117.18,-1,-1
2020-02-16,0,9.425,0.41666666666666663,54.26220387059831,NA,88.45,2,-1
2020-02-17,0,9.004166666666666,4.370833333333334,76.51402816353566,NA,108.82,-13,3
2020-02-18,0,13.053472222222222,11.412847222222222,90.13851004571357,NA,103.38,2,1
2020-02-19,0,6.434027777777778,1.15625,73.00686055978821,NA,109.4,3,0
2020-02-20,0,4.201736111111111,-1.6552777777777776,68.16659085896926,NA,104.68,2,1
2020-02-21,0,-0.06250000000000003,-7.933333333333334,58.39223735342309,NA,126.58,3,-1
2020-02-22,0,0.7208333333333332,-6.4375,65.95224493383006,NA,116.8,3,-2
2020-02-23,0,4.929166666666666,-0.7916666666666666,69.06761077877516,NA,83.62,4,-1
2020-02-24,0,8.264583333333333,6.054166666666666,86.71323523995135,NA,97,10,1
2020-02-25,0,11.189583333333333,8.652083333333334,84.9314597026178,NA,112.22,4,-1
2020-02-26,0,6.825,4.086111111111111,83.12333242193351,NA,108,2,0
2020-02-27,0,2.5833333333333335,-5.691666666666666,56.45784579066525,NA,115.56,2,-1
2020-02-28,0,4.845833333333333,-2.073611111111111,62.938266197244765,NA,136.86,1,-1
2020-02-29,0,3.798611111111111,-3.1930555555555555,65.79056825107311,NA,128.29,4,-3
2020-03-01,0,6.554166666666666,-1.45,62.68360480476923,NA,98.46,6,-2
2020-03-02,0,12.45625,9.047916666666667,82.79009868091524,NA,108.21,10,0
2020-03-03,0,15.89861111111111,11.613194444444444,78.39186071853048,NA,211.32,-53,3
2020-03-04,0,10.358333333333333,4.633333333333333,72.27470630174196,NA,244.05,-19,-2
2020-03-05,0,11.533333333333333,3.05,58.58637257119699,NA,170.15,-14,-1
2020-03-06,0,9.2375,-2.1708333333333334,45.40643931009468,NA,165.25,-14,1
2020-03-07,0,4.741666666666667,-3.9125,57.59590121510781,NA,161.36,9,-4
2020-03-08,0,7.470833333333333,-1.6416666666666666,61.60887699824388,NA,107,6,-3
2020-03-09,0,13.395833333333334,3.2083333333333335,51.03543366502236,NA,125.94,-6,1
2020-03-10,0,15.744444444444444,12.021527777777777,80.06155327762258,NA,121.83,-14,2
2020-03-11,0,10.56826388888889,9.062013888888888,90.8079400580861,NA,127.53,-14,2
2020-03-12,0,14.960654761904761,13.240972222222222,90.17697628016197,NA,117.38,-16,2
2020-03-13,0,15.819444444444445,9.234722222222222,67.17715361526837,NA,137.44,-18,4
2020-03-14,0,10.897916666666667,2.232291666666667,56.49872968750729,NA,127.01,-3,2
2020-03-15,0,6.638194444444444,5.108680555555555,90.35505796674607,NA,77.9,-9,3
2020-03-16,0,7.620833333333334,4.6812499999999995,81.99968500389257,NA,98.18,-13,6
2020-03-17,0,11.221378968253969,10.332986111111111,94.44074982156438,NA,90.1,-24,11
2020-03-18,0,13.81875,12.216666666666667,90.67174228075655,NA,89.1,-28,13
2020-03-19,0,19.44527777777778,17.180347222222224,87.62488466582951,NA,87.5,-31,12
2020-03-20,1,20.675,17.560416666666665,82.96092139980418,NA,86.84,-33,16
2020-03-21,2,9.023611111111112,6.022916666666666,82.26463230981985,NA,75.29,-17,8
2020-03-22,-1,7.634722222222222,3.9833333333333334,78.58199732236011,NA,56.81,-28,9
2020-03-23,4,12.807638888888889,11.521527777777777,92.3808271981393,NA,69.17,-38,17
2020-03-24,1,11.543333333333333,10.821319444444445,95.49023047601217,NA,63.76,-46,21
2020-03-25,3,12.278472222222222,9.968055555555555,86.61916797132635,NA,72.53,-45,19
2020-03-26,3,14.607440476190476,9.84785052910053,77.93990075274847,NA,78.22,-44,17
2020-03-27,7,22.0875,15.6125,67.72261821634275,NA,84.76,-45,18
2020-03-28,0,23.141666666666666,17.645833333333332,72.22727348995758,NA,71.29,-28,10
2020-03-29,7,21.130555555555556,12.394097222222223,61.64584500584172,NA,58.75,-38,10
