date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,8.334722222222222,1.7138888888888888,64.94219253621215,NA,123.9,4,0
2020-02-16,0,14.594444444444445,8.631944444444445,70.83962793625523,NA,102.25,4,NA
2020-02-17,0,17.566666666666666,9.947222222222223,64.83741495535845,NA,111.09,-17,3
2020-02-18,0,12.804166666666667,5.0472222222222225,61.27656937372036,NA,107.31,-1,1
2020-02-19,0,7.238888888888889,0.5805555555555555,63.60336114292775,NA,102.4,2,0
2020-02-20,0,6.415277777777778,2.423611111111111,78.21385756714095,NA,104.46,-1,0
2020-02-21,0,2.2444444444444445,-5.198611111111111,61.558199851038275,NA,138.09,2,-3
2020-02-22,0,7.675,-1.6125,52.741344349538586,NA,138.23,4,0
2020-02-23,0,10.61111111111111,6.205555555555556,74.9514157066375,NA,99.92,4,NA
2020-02-24,0,13.48263888888889,7.519444444444445,69.84679953588267,NA,113.18,2,-1
2020-02-25,0,9.208333333333334,2.098611111111111,65.00497950535043,NA,110.91,1,-1
2020-02-26,0,4.733333333333333,-3.748611111111111,58.48418916043719,NA,102.25,3,-1
2020-02-27,0,5.4625,-7.602777777777778,41.633535454840484,NA,119.96,2,-2
2020-02-28,0,10.709722222222222,-3.3472222222222223,41.42798856795683,NA,138.56,4,-4
2020-02-29,0,16.055555555555554,-1.9638888888888888,30.75194822641738,NA,136.45,11,-2
2020-03-01,0,17.28472222222222,7.815277777777778,57.58953925297413,NA,101.38,8,NA
2020-03-02,0,16.627777777777776,9.259722222222223,63.31954432289355,NA,106.88,3,-1
2020-03-03,0,13.905555555555555,7.163888888888889,64.48990805947747,NA,110.56,2,-1
2020-03-04,0,11.993055555555555,9.03888888888889,83.04672196013293,NA,98.12,2,2
2020-03-05,0,11.448611111111111,5.641666666666667,72.67157725738127,NA,119.01,4,-2
2020-03-06,0,12.57638888888889,-3.486111111111111,33.7728958293699,NA,150.82,4,-3
2020-03-07,0,12.194444444444445,-2.3805555555555555,37.16144556194023,NA,155.35,6,-1
2020-03-08,0,11.67361111111111,5.759722222222222,68.76143050091551,NA,110.09,1,NA
2020-03-09,0,18.716666666666665,12.386111111111111,69.66612332805742,NA,111.54,-6,2
2020-03-10,0,16.28611111111111,8.840277777777777,63.546711557997135,NA,120.84,-7,0
2020-03-11,0,21.90416666666667,14.904166666666667,68.66906531788482,NA,115.62,-3,-1
2020-03-12,0,23.163888888888888,15.729166666666666,64.87926890394843,NA,129.67,-6,-1
2020-03-13,0,16.455555555555556,13.797222222222222,85.6961334405553,NA,136.8,-14,3
2020-03-14,0,12.334722222222222,11.8,96.59077115592633,NA,123.37,-3,4
2020-03-15,0,10.386111111111111,9.025,91.39859431621224,NA,95.02,-6,NA
2020-03-16,0,13.184722222222222,11.825,92.00379815666096,NA,90.89,-23,6
2020-03-17,0,15.383333333333333,14.493055555555555,94.61579378728185,NA,88.57,-24,9
2020-03-18,0,19.056944444444444,16.78472222222222,87.9098029304518,NA,95.87,-26,9
2020-03-19,0,20.916666666666668,17.32638888888889,80.48557616807605,NA,93.76,-29,10
2020-03-20,0,12.468055555555555,7.322222222222222,71.40549279923277,NA,93.26,-27,11
2020-03-21,0,7.0569444444444445,2.886111111111111,75.7401336957022,NA,80.67,-11,NA
2020-03-22,0,11.827777777777778,10.6125,92.43158606355686,NA,62.43,-27,NA
2020-03-23,0,16.031944444444445,14.8625,93.12415376314785,NA,74.02,-30,13
2020-03-24,0,21.46527777777778,15.334722222222222,72.89791856537258,NA,77.14,-32,13
2020-03-25,0,20.9625,11.145833333333334,59.034368499501426,NA,76.93,-35,14
2020-03-26,0,24.568055555555556,18.101388888888888,68.77173158647804,NA,79.83,-36,14
2020-03-27,0,22.252777777777776,18.384722222222223,79.16136180080005,NA,78.62,-37,15
2020-03-28,0,21.219444444444445,9.358333333333333,53.330949804458186,NA,69.8,-19,NA
2020-03-29,0,15.565277777777778,2.348611111111111,43.38606937943433,NA,59.46,-31,NA
2020-03-30,1,14.822222222222223,9.4125,71.6559351108103,NA,67.63,-40,17
2020-03-31,0,12.96111111111111,9.276388888888889,80.87276543043448,NA,68.09,-39,16
2020-04-01,0,14.858333333333333,8.588888888888889,67.39646368984552,NA,70.54,-37,14
2020-04-02,2,16.694444444444443,12.473611111111111,76.69664515798353,1.3626087737706658,70.19,-39,16
2020-04-03,0,11.652777777777777,10.125,90.633319492576,1.3570109223192097,68.28,-39,19
2020-04-04,0,4.2625,2.5569444444444445,88.85594147288988,1.3507026541505711,58.15,-28,NA
2020-04-05,0,9.434722222222222,8.031944444444445,91.48205333553302,1.3436954552100009,52.82,-37,NA
2020-04-06,0,16.92361111111111,14.540277777777778,86.28105558568214,1.3360035009516398,68.35,-39,16
2020-04-07,0,21.754166666666666,16.961111111111112,77.6793218165019,1.3276382502991617,75.78,-39,16
2020-04-08,0,25.843055555555555,14.6625,56.18472008666021,1.3186043741446558,80.68,-38,15
2020-04-09,0,21.872222222222224,9.956944444444444,47.99271726049887,1.3088976423575247,75.93,-39,15
2020-04-10,1,16.67361111111111,3.227777777777778,41.858137076523114,1.2985050244179184,87.72,-46,17
2020-04-11,1,16.105555555555554,10.719444444444445,71.82703742379826,1.2874069028346822,61.92,-26,NA
2020-04-12,0,19.933333333333334,15.223611111111111,77.11066128687358,1.2755810116983726,54.44,-36,NA
2020-04-13,0,6.863888888888889,-1.9569444444444444,55.18384661224509,1.2630075226050377,76.71,-39,16
2020-04-14,0,6.322222222222222,-1.0625,60.20453206609309,1.2496746113910424,77.24,-38,17
2020-04-15,0,7.698611111111111,0.6625,64.9588553487497,1.2355838419814185,80.3,-36,14
2020-04-16,2,14.265277777777778,5.1000000000000005,55.70196965774808,1.2207547811013306,83.37,-38,14
2020-04-17,1,13.843055555555555,7.683333333333334,67.31613289043885,1.2052283892125506,87.21,-37,15
2020-04-18,1,9.634722222222223,4.309722222222222,71.74775001722209,1.1890688973772046,86.06,-22,NA
2020-04-19,0,18.908333333333335,14.383333333333333,77.01286894878243,1.17236405608214,69.85,-30,NA
2020-04-20,0,16.504166666666666,12.780555555555555,80.65268914118228,1.1552238116620779,86.98,-36,14
2020-04-21,3,20.01388888888889,14.905555555555555,74.5772080958424,1.137777612801731,89.68,-37,14
2020-04-22,1,23.102777777777778,15.549999999999999,66.5511584477862,1.1201706604327337,81.89,-36,16
2020-04-23,1,20.02777777777778,10.720833333333333,59.50088346348499,1.1025594790224091,86.06,-36,13
2020-04-24,0,22.898611111111112,10.15,46.14878311453778,1.0851071999761357,106.91,-37,14
2020-04-25,1,18.593055555555555,6.961111111111111,49.58644902978022,1.0679789093213237,98.47,-22,NA
2020-04-26,0,20.35972222222222,5.634722222222222,40.83416235949725,1.0513373310297252,83.98,-29,NA
2020-04-27,0,21.925,9.873611111111112,47.29049471201786,1.0353390116009387,90.92,-37,14
2020-04-28,0,25.04722222222222,17.454166666666666,64.93881935401198,1.0201310636076735,86.98,-39,9
2020-04-29,2,21.052777777777777,9.968055555555555,55.292485046174654,1.0058484385522055,98.7,-36,14
2020-04-30,0,19.447222222222223,6.330555555555556,44.88111750203948,0.9926116493520831,102.63,-37,13
2020-05-01,0,23.065277777777776,10.34375,46.4922695242141,0.980524856398844,117.67,-35,11
2020-05-02,7,23.969097222222224,15.890972222222222,61.87999988489116,0.9696742632270257,106.53,-13,NA
2020-05-03,0,26.22361111111111,19.477777777777778,68.4078107220833,0.9601268240652646,91.46,-22,NA
2020-05-04,2,27.420833333333334,18.991666666666667,63.05666971618771,0.951929327129782,104.87,-34,12
2020-05-05,1,22.736231884057972,12.845652173913043,56.8171303568599,0.9451079662524071,103.09,-33,12
2020-05-06,1,20.40972222222222,6.169444444444444,41.42949175663974,0.9396685354329242,105.44,-31,11
2020-05-07,0,20.420833333333334,9.504166666666666,52.048698235156536,0.9355973684658618,107.31,-33,11
2020-05-08,0,20.16111111111111,13.925,69.59163705243203,0.932863097726774,122.34,-31,11
2020-05-09,2,15.108333333333334,6.123611111111111,57.20170297554229,0.9314192275604566,117.09,-13,NA
2020-05-10,0,17.556944444444444,8.718055555555555,58.98476209278629,0.9312074194359458,88.74,-18,NA
2020-05-11,0,18.698611111111113,8.873611111111112,55.14034354500958,0.9321612843234577,NA,-31,11
2020-05-12,1,22.280555555555555,14.411111111111111,63.17159557185644,0.9342103923116434,NA,-31,13
2020-05-13,4,21.794444444444444,17.940277777777776,79.73827158329404,0.9372841599533943,116.93,-31,11
2020-05-14,1,24.131944444444446,18.420833333333334,72.10601349305563,0.9413152766497883,118.75,-31,9
2020-05-15,0,25.5125,19.54722222222222,70.4563614332352,0.946242386696491,136.37,-32,10
2020-05-16,0,17.116666666666667,15.831944444444444,92.43687110524473,0.9520118444523102,103.81,-18,NA
2020-05-17,0,20.844444444444445,15.745833333333334,77.1152379956826,0.9585784856994798,104.98,-13,NA
2020-05-18,0,23.984722222222224,14.552777777777777,56.73087087104338,0.9659054818141879,121.82,-31,10
2020-05-19,2,24.86111111111111,19.095833333333335,71.47971865975497,0.9739634400523957,121.3,-31,11
2020-05-20,0,22.033333333333335,17.566666666666666,76.18351359835385,0.9827289676199362,120.31,-28,9
2020-05-21,4,22.97361111111111,19.084722222222222,80.01089536056682,0.9921829266038555,132.43,-30,9
2020-05-22,0,26.194444444444443,19.96527777777778,69.61481093565199,1.0023085799493194,162.66,-30,8
2020-05-23,0,23.5875,18.46388888888889,74.8166205172074,1.013089780048057,157.09,-12,NA
2020-05-24,0,24.15833333333333,19.17638888888889,75.29291645649657,1.0245092953233927,111.85,-16,NA
2020-05-25,0,18.77916666666667,17.323611111111113,91.4897255637798,1.0365473158844676,114.08,-70,23
2020-05-26,3,17.755555555555556,14.963888888888889,84.51825177434333,1.0491801308433664,132.35,-30,11
2020-05-27,0,21.15416666666667,13.926388888888889,67.1907540731657,1.062378928152188,136.44,-28,9
2020-05-28,0,22.927777777777777,15.786111111111111,65.74022316530287,1.0761086342546848,146.36,-29,8
2020-05-29,0,23.4125,15.309722222222222,62.99336073963231,1.0903266898588224,173.74,-27,7
2020-05-30,1,23.730555555555554,13.848611111111111,56.8709241493813,1.1049816569562565,155.84,-3,4
2020-05-31,0,23.416666666666668,14.536111111111111,59.850480777149755,1.1200115782257105,126.92,-9,NA
2020-06-01,0,23.454166666666666,15.544444444444444,62.60212312652634,1.1353420667860148,134.46,-28,8
2020-06-02,1,25.459722222222222,17.676388888888887,63.00529386345846,1.1508841885351992,131.89,-30,9
2020-06-03,0,27.408333333333335,19.04861111111111,61.81653531509989,1.1665322996037009,134.41,-27,8
2020-06-04,3,28.5625,20.4625,63.0139373809249,1.182162100007984,143.64,-29,8
2020-06-05,2,28.680555555555557,20.230555555555554,61.77524664234332,1.1976292411991514,169.26,-31,7
2020-06-06,0,29.09722222222222,19.85,59.399140611594895,1.2127688618275008,162.37,-9,NA
2020-06-07,0,27.855555555555554,20.165277777777778,65.39180243519489,1.2273964107506037,129.42,-10,NA
2020-06-08,0,28.15416666666667,19.483333333333334,60.96116031981116,1.24131004543478,139.18,-29,8
2020-06-09,1,29.565277777777776,14.031944444444445,44.239391671818865,1.254294772334257,139.84,-29,9
2020-06-10,2,22.668055555555554,6.236111111111111,36.93522259839872,1.2661283359427788,139.79,-28,8
2020-06-11,0,26.265277777777776,7.031944444444445,30.664990226830692,1.2765886830397957,147.79,-29,7
2020-06-12,0,25.829166666666666,11.366666666666667,42.310440301398536,1.2854626497995647,174.64,-30,6
2020-06-13,1,27.127777777777776,12.998611111111112,43.393709783348086,1.2925553645518253,159.56,-1,2
2020-06-14,0,27.391666666666666,13.595833333333333,44.9881730173891,1.2976997487008068,129.31,-9,NA
2020-06-15,0,27.168055555555554,14.731944444444444,48.57290770157532,1.3007654477638761,138.64,-30,8
2020-06-16,0,28.29861111111111,17.005555555555556,52.923505724142764,1.3016665403595726,143.19,-30,8
