date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,4.002083333333333,-3.23125,60.90532742880911,NA,157.55,-5,0
2020-02-16,0,3.8916666666666666,-4.014583333333333,61.297635189825435,NA,115.84,-4,-2
2020-02-17,0,2.3208333333333333,-5.466666666666667,60.7772455805236,NA,118.74,-37,7
2020-02-18,0,0.5875000000000001,-8.1125,56.15553981918203,NA,121.66,-6,1
2020-02-19,0,-0.6958333333333333,-9.295833333333334,57.10166507683984,NA,117.12,0,0
2020-02-20,0,-0.8104166666666667,-9.160416666666666,57.34033546784594,NA,121.75,-1,0
2020-02-21,0,-0.3395833333333333,-7.754166666666666,61.39415826286586,NA,140.75,1,-1
2020-02-22,0,2.175,-5.327083333333333,61.00167227336148,NA,136.38,-1,-1
2020-02-23,0,5.879166666666666,-1.9166666666666667,59.64749744128718,NA,99.35,-3,0
2020-02-24,0,5.964583333333334,-5.8,43.82246833407228,NA,109.29,0,0
2020-02-25,0,3.078472222222222,-5.6090277777777775,55.7409845618782,NA,116.32,0,-1
2020-02-26,0,5.59375,-2.66875,58.34815974424265,NA,122.42,1,-2
2020-02-27,0,6.245833333333334,-2.3833333333333333,58.29665302060489,NA,123.92,0,-2
2020-02-28,0,6.120833333333334,-1.1729166666666666,63.48179367553518,NA,148.33,1,-2
2020-02-29,0,7.775,-4.25625,45.35499163505066,NA,147.83,2,-3
2020-03-01,0,2.9041666666666663,-7.74375,49.52571325068093,NA,111.47,-1,-3
2020-03-02,0,7.60625,-4.01875,45.513523640690494,NA,118.77,0,-2
2020-03-03,0,9.004166666666666,-0.68125,54.409331111333984,NA,118.6,1,-1
2020-03-04,0,10.04375,-4.672916666666667,37.868377323004445,NA,137.72,1,-2
2020-03-05,0,4.616666666666667,-5.99375,49.884455993951434,NA,151.86,0,-1
2020-03-06,0,7.289583333333334,-2.716666666666667,51.627754434264965,NA,172.85,-2,-1
2020-03-07,0,8.270833333333334,0.8729166666666667,62.118301769547266,NA,166.45,2,-2
2020-03-08,0,2.3395833333333336,-6.389583333333333,57.72238880198033,NA,104.76,-2,-2
2020-03-09,0,2.4604166666666667,-8.200000000000001,49.55529265432661,NA,115.89,-1,-1
2020-03-10,0,2.6291666666666664,-6.664583333333334,54.8487194086871,NA,114.61,0,-1
2020-03-11,0,6.8375,-3.775,50.6313880717352,NA,117.25,0,-1
2020-03-12,0,6.141666666666667,-5.641666666666667,44.92619756187504,NA,116.45,-2,-1
2020-03-13,2,2.9270833333333335,-3.921527777777778,63.99252015003973,NA,120.01,-3,2
2020-03-14,2,0.5357638888888888,-5.1906944444444445,66.3195140540171,NA,101.43,-4,5
2020-03-15,0,0.35,-10.735416666666667,44.17559270242153,NA,75.29,-9,3
2020-03-16,0,2.2875,-7.577083333333333,52.68731876005951,NA,101.81,-18,5
2020-03-17,1,2.5229166666666667,-6.125,58.63884369243748,NA,95.69,-23,8
2020-03-18,2,5.752083333333333,-4.854166666666667,51.91907424467301,NA,94.81,-26,8
2020-03-19,0,6.722916666666666,-4.164583333333334,51.50189753441942,NA,100.03,-27,9
2020-03-20,3,8.197916666666666,-1.9291666666666667,54.49394841581875,NA,107.44,-28,10
2020-03-21,3,10.404166666666667,-3.1041666666666665,42.41058548509037,NA,86.14,-11,6
2020-03-22,3,9.24375,-4.75625,40.32164812790737,NA,67.61,-24,6
2020-03-23,0,11.21111111111111,-3.33125,37.390107877013385,NA,75.42,-35,12
2020-03-24,9,4.460416666666666,-3.8361111111111112,58.258778635405406,NA,71.53,-38,14
2020-03-25,22,5.272916666666666,-2.529166666666667,60.28765691951983,NA,71.53,-40,14
2020-03-26,14,3.81875,-4.9437500000000005,57.09970044887385,NA,71.4,-41,15
2020-03-27,5,8.825,-2.783333333333333,45.218907859781766,NA,77.81,-40,17
2020-03-28,16,8.760416666666666,-0.4583333333333333,54.944428541727675,NA,65.18,-25,11
2020-03-29,58,11.808333333333334,1.7645833333333334,51.83184977503676,NA,56.62,-33,9
2020-03-30,7,10.379166666666666,-0.3854166666666667,50.0123212933792,NA,70.5,-41,14
2020-03-31,14,6.627083333333333,-3.1166666666666667,54.16004916976988,NA,75.51,-42,15
2020-04-01,0,6.039583333333334,-4.939583333333333,47.057551610247124,NA,73.2,-43,15
2020-04-02,63,2.435416666666667,-5.060416666666667,61.67681882010104,1.0878156057450887,76.2,-44,15
2020-04-03,16,2.872916666666667,-7.439583333333333,51.12802747177805,1.0865002757828421,86.13,-43,16
2020-04-04,49,4.545833333333333,-6.23125,47.62396073410187,1.0851979040007838,71.19,-30,11
2020-04-05,37,7.722916666666666,-1.9208333333333334,52.54628578173893,1.0839523463600487,56.24,-34,9
2020-04-06,37,7.183333333333334,-1.3812499999999999,59.73677081113147,1.0828093103147687,77.94,-43,14
2020-04-07,17,11.83125,-4.229166666666667,37.92352204558963,1.0818149518423008,76.76,-43,15
2020-04-08,20,12.76875,-8.533333333333333,24.53720704073404,1.0810145253309398,78.1,-44,14
2020-04-09,33,12.070833333333333,-3.8604166666666666,38.94665156938995,1.0804511062399926,86.83,-44,15
2020-04-10,14,16.71875,-1.2083333333333333,32.198965476606766,1.0801643912202463,95.2,-45,16
2020-04-11,64,14.735416666666667,1.1187500000000001,43.013042294156776,1.080189570738596,79.59,-30,10
2020-04-12,24,10.983333333333334,-11.995833333333334,19.724633157740335,1.0805562660702386,55,-35,7
2020-04-13,3,8.079166666666667,-10.0375,31.297716093789607,1.0812875255805174,80.36,-40,13
2020-04-14,76,13.252083333333333,-7.454166666666667,25.03792608680231,1.0823988834037837,82.15,-40,14
2020-04-15,21,16.739583333333332,0.28750000000000003,34.43605229400019,1.0838974952824645,90.2,-40,13
2020-04-16,39,9.729166666666666,-3.377083333333333,45.88334978249399,1.0857813796043303,91.63,-40,13
2020-04-17,33,9.854166666666666,-6.060416666666667,38.48142423581231,1.0880388047627383,107.61,-39,14
2020-04-18,52,17.225,-0.9937499999999999,30.836069125255914,1.090647875180245,92.46,-24,9
2020-04-19,45,13.991666666666667,1.8354166666666667,46.27758162219755,1.0935763760654342,74.94,-29,6
2020-04-20,31,15.077083333333333,1.6541666666666666,44.789989140116425,1.0967819395742338,96.28,-39,11
2020-04-21,33,16.395833333333332,0.8708333333333333,38.21797615775264,1.100212590840173,94.97,-40,13
2020-04-22,18,11.810416666666667,3.26875,57.8803283469356,1.1038077197772946,96.08,-40,14
2020-04-23,-7,14.810416666666667,3.7979166666666666,50.09487853368095,1.1074995026209464,98.29,-40,14
2020-04-24,44,13.304166666666667,2.2375,49.60671198518729,1.1112147658902762,111.29,-40,14
2020-04-25,53,13.445833333333333,4.354166666666667,57.57075957339384,1.1148772464553116,96.5,-24,8
2020-04-26,39,12.49375,-2.8125,38.43235672329643,1.1184101581951018,79.87,-30,6
2020-04-27,19,17,-0.1666666666666666,34.71372911171437,1.1217389336607149,103,-38,12
2020-04-28,12,12.702083333333334,0.1333333333333333,45.66619774918537,1.1247939746852536,99.87,-38,4
2020-04-29,36,17.214583333333334,4.15,44.716467139234304,1.1275132255184026,99.79,-37,11
2020-04-30,46,17.258333333333333,1.7173611111111111,37.0204166211151,1.1298443809320378,104.32,-39,13
2020-05-01,75,10.791666666666666,-2.972916666666667,42.6247069899793,1.1317465622633158,118.12,-38,12
2020-05-02,69,14.589583333333334,3.752083333333333,51.41917816829216,1.1331913353859093,104.29,-20,7
2020-05-03,24,9.64375,0.6583333333333333,57.932148601548285,1.1341630013471244,88.74,-27,5
2020-05-04,76,10.072916666666666,-1.7020833333333334,48.88852920537496,1.1346581552650996,108.21,-36,10
2020-05-05,17,16.870833333333334,1.9791666666666665,40.48593738866191,1.134684573098331,110.12,-36,10
2020-05-06,60,15.483333333333333,2.8354166666666667,46.10735590423298,1.134259540584329,111.93,-36,11
2020-05-07,98,11.091666666666667,-0.88125,46.95743666412787,1.1334077775385472,116.67,-36,11
2020-05-08,32,14.020833333333334,1.1895833333333332,46.237870014684205,1.1321591303783611,139.7,-35,11
2020-05-09,107,17.677083333333332,2.9145833333333333,42.749546401863775,1.1305462060083593,129.92,-16,4
2020-05-10,95,21.085416666666667,1.33125,28.62670411402014,1.1286021036926885,97.16,-20,2
2020-05-11,83,20.0875,0.35625,27.28050772017539,1.1263583728232034,NA,-35,10
2020-05-12,52,16.570833333333333,4.58125,47.50827305688185,1.123843289152084,NA,-34,11
2020-05-13,30,14,4.29375,55.06707367498856,1.1210805058286597,118.72,-35,10
2020-05-14,56,14.966666666666667,3.3020833333333335,48.11436247371783,1.1180881036209818,126.52,-36,11
2020-05-15,50,14.2375,5.264583333333333,59.65662098318688,1.1148780409458168,147.31,-35,10
2020-05-16,165,15.108333333333334,4.497916666666667,52.18874293182807,1.1114559908721542,126.75,-15,5
2020-05-17,36,15.41875,8.395833333333334,65.60118155805083,1.1078215488654146,107.61,-21,5
2020-05-18,117,14.134027777777778,6.874305555555556,64.08267857609762,1.1039687989392442,123.31,-33,9
2020-05-19,74,15.922916666666666,7.114583333333333,58.166079217047525,1.0998872321299082,126.2,-35,12
2020-05-20,74,17.3875,5.341666666666667,46.422402911171375,1.0955630136628964,130.61,-34,10
