date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,5.441666666666666,-4.620833333333334,55.248480092857676,NA,207.95,2,0
2020-02-16,0,7.083333333333333,-6.333333333333333,42.99438576287001,NA,179.02,1,-1
2020-02-17,0,7.791666666666667,-2.9166666666666665,51.27357775269988,NA,161.11,-20,3
2020-02-18,0,6.895833333333333,-4.829166666666667,47.92661618023687,NA,132.01,2,0
2020-02-19,0,8.4625,-3.7708333333333335,48.24534886113088,NA,129.55,3,-1
2020-02-20,0,6.829166666666667,-7.7625,39.93798561535688,NA,143.15,3,-1
2020-02-21,0,9.058333333333334,-4.658333333333333,40.704793554234634,NA,173.3,1,0
2020-02-22,0,9.750833333333333,4.309166666666667,71.71091213775557,NA,158.73,-5,4
2020-02-23,0,5.344444444444444,1.5583333333333333,78.01963797074312,NA,150.52,1,1
2020-02-24,0,5.697916666666667,-1.3708333333333333,67.34438156282741,NA,142.34,4,0
2020-02-25,0,4.483333333333333,-11.608333333333333,34.555318520749005,NA,129.95,3,0
2020-02-26,0,2.0208333333333335,-14.075,33.08882895617201,NA,129.71,4,-1
2020-02-27,0,6.041666666666667,-8.866666666666667,39.997807461561834,NA,141.42,3,-1
2020-02-28,0,8.033333333333333,-7.870833333333334,36.37036385482064,NA,162.54,3,-1
2020-02-29,0,7.920833333333333,-7.1375,38.29653262331335,NA,176.53,4,-1
2020-03-01,0,8.354166666666666,-4.695833333333333,42.28195157632764,NA,149.74,4,0
2020-03-02,0,5.347222222222222,-2.84375,58.542296837241125,NA,128.46,3,1
2020-03-03,0,6.466666666666667,-5.416666666666667,49.55212804934583,NA,128.37,3,-1
2020-03-04,0,8.641666666666667,-5.733333333333333,40.196925857050495,NA,133.3,4,-1
2020-03-05,0,9.391666666666666,-3.1041666666666665,48.2948458054032,NA,144.69,3,-2
2020-03-06,0,11.083333333333334,-4.720833333333333,35.22516624763147,NA,169.25,2,-1
2020-03-07,0,11.1125,-1.0208333333333335,45.75550928799554,NA,187.17,2,-1
2020-03-08,0,10.083333333333334,-2.975,41.19939829616241,NA,185.23,1,-2
2020-03-09,0,7.966666666666667,-1.1375,57.383534385747986,NA,169.34,-12,0
2020-03-10,0,8.830069444444444,3.671666666666667,72.78912740910039,NA,144.48,-15,3
2020-03-11,0,10.459027777777777,8.80486111111111,89.9415064802654,NA,151.36,-14,3
2020-03-12,0,10.718839285714285,9.127906746031746,90.28658097660077,NA,138.97,-16,3
2020-03-13,0,6.186527777777778,3.811825396825397,85.64552219918181,NA,154.84,-14,4
2020-03-14,0,8.35,3.632142857142857,73.20518165792498,NA,160.88,-2,2
2020-03-15,0,7.45,1.2791666666666666,69.40027157967498,NA,154.8,-3,1
2020-03-16,0,8.204166666666667,1.0083333333333333,65.58761474999733,NA,134.23,-10,2
2020-03-17,0,8.891666666666667,1.6208333333333333,63.765471063834624,NA,122.84,-15,4
2020-03-18,0,6.160555555555556,2.106388888888889,76.53894537319152,NA,92.39,-22,9
2020-03-19,0,1.7056944444444444,-0.22652777777777777,88.08461713497445,NA,89.16,-28,10
2020-03-20,1,3.658333333333333,-1.9979166666666668,70.88123746025663,NA,100.73,-23,9
2020-03-21,0,6.45,-1.1541666666666668,62.09028887223277,NA,95.32,-23,8
2020-03-22,2,6.891666666666667,-0.5208333333333334,63.090311528511016,NA,82.9,-32,8
2020-03-23,0,7.602083333333333,1.3333333333333335,66.08352098380186,NA,70.74,-30,10
2020-03-24,0,6.825,-0.17083333333333334,65.27570140441664,NA,74.19,-32,10
2020-03-25,1,10.3375,-3.1958333333333333,40.8754067052173,NA,70.23,-33,11
2020-03-26,1,8.925,-5.416666666666667,37.85258503904627,NA,74.34,-34,11
2020-03-27,4,3.3833333333333333,-6.404166666666667,50.75546380302339,NA,75.07,-34,13
2020-03-28,4,3.3583333333333334,-8.108333333333333,47.426744076941795,NA,88.92,-32,10
2020-03-29,-1,7.383333333333334,-6.320833333333334,40.894130948295356,NA,75.35,-38,9
2020-03-30,3,7.404166666666667,-4.225,47.74737474240409,NA,69.25,-33,9
2020-03-31,6,9.9875,-3.175,44.46239614423404,NA,68.02,-35,10
2020-04-01,3,12.816666666666666,-1.2416666666666667,40.336851256642234,0.5958957159429857,64.66,-37,11
2020-04-02,10,13.3125,-2.45625,34.890337784298126,0.5845701413950743,66.68,-39,12
2020-04-03,1,9.629166666666666,-3.629166666666667,43.689915939380555,0.5767895010180458,74.29,-37,12
2020-04-04,8,10.058333333333334,-3.345833333333333,42.78268332184399,0.5731566798046678,73.55,-36,10
2020-04-05,2,11.3875,-2.783333333333333,39.72224152650344,0.5742583927179437,62.57,-42,9
2020-04-06,4,10.933333333333334,-3.7,39.44898470971343,0.5806933811890416,63.15,-37,11
2020-04-07,8,10.495833333333334,-4.883333333333334,35.3943883882168,0.5930989063247768,65.74,-39,12
2020-04-08,1,10.610416666666667,-0.23750000000000007,49.61122721736612,0.6121735528602412,61.71,-40,13
2020-04-09,4,6.558333333333334,-0.5750000000000001,64.87449704564807,0.6386932744385082,66.74,-40,13
2020-04-10,0,7.316666666666666,-3.370833333333333,50.67020298982404,0.673515905879119,77.96,-40,14
2020-04-11,1,8.016666666666666,-0.8625,55.828267732387125,0.7175673718601333,82.99,-37,11
2020-04-12,0,8.8625,3.2291666666666665,69.285674517707875,0.7718008260694398,52.57,-47,10
2020-04-13,2,8.519583333333333,4.568680555555556,77.74557646152483,0.8371184543802149,61.55,-40,13
2020-04-14,5,7.066666666666666,-5.702083333333333,45.445243042751855,0.9142455956346536,68.13,-37,11
2020-04-15,-4,8,-7.783333333333333,38.05974079678574,1.0035496337694172,72.86,-37,11
2020-04-16,2,12.316666666666666,-7.225,27.29781249693419,1.1048036428486734,77.96,-37,12
2020-04-17,1,12.0875,-4.635416666666667,35.14107082828819,1.2169087080525938,89.78,-36,13
2020-04-18,3,10.7375,-1.4583333333333333,46.932284607988414,1.3376096282469352,100.43,-33,10
2020-04-19,0,10.833333333333334,0.1375,50.65989571908109,1.4632638896372099,90.08,-39,8
2020-04-20,-1,13.208333333333334,-0.9791666666666667,41.96593330658092,1.5887464619486025,78.21,-35,10
2020-04-21,1,11.569444444444445,-0.24861111111111106,46.377924957349194,1.7075813182374386,78.84,-37,12
2020-04-22,1,12.345833333333333,1.0875,54.57454669014267,1.8123706093325043,79.81,-37,11
2020-04-23,2,16.291666666666668,-1.1,34.00866195260399,1.8955347783591205,85.94,-37,11
2020-04-24,0,16.729166666666668,-1.3875,33.64411303391226,1.9502864014890855,107.43,-36,12
2020-04-25,1,17.2625,-3.1041666666666665,27.762737565438048,1.971662623877044,132.42,-34,8
